"tag","cleanup2c1_status","runtime_observation","name_problem","title_problem","company_problem","hotfix_action","exact_character_after_hotfix","exact_title_after_hotfix","government_after_hotfix","company_cadre_after_hotfix","deferred_status","files_touched","static_validation","notes"
"SWZ","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ngwane III","Ngwenyama","gov_cleanup2c1_swz","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ngwane III is conventionally dated as ruler about 1745–1780."
"TGI","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","IDENTITY_RESEARCH_DEFERRED_PROCEDURAL_ALLOWED","None (content preserved)","PASS -- deferred identity not forced","Sources support an old coastal settlement/sultanate tradition but did not securely identify the 1776 officeholder."
"TRI","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ali I Qaramanli","Pasha","gov_cleanup2c1_tri","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ali I ruled 1754–1793."
"TRN","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Engine-generated ruler remains expected for the deferred/anachronistic polity.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The South African Republic/Transvaal state belongs to the mid-19th century."
"TUG","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ahmed VIII ben Amrane","Sultan","gov_cleanup2c1_tug","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Beni Djellab ruler lists place Ahmed VIII in office 1766–1778."
"TUN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ali II ibn Hussein","Bey","gov_cleanup2c1_tun","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ali II ruled 1759–1782."
"WAD","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Muhammad Jawda","Kolak","gov_cleanup2c1_wad","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place Muhammad Jawda/Joda in office 1747–1795."
"WBL","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Adam Kok I","Kaptyn","gov_cleanup2c1_wbl","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Adam Kok I was a real 18th-century community leader, but a later territorial 'Griqualand' state should not be projected backward wholesale."
"WSG","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Garaad Ali","Garaad","gov_cleanup2c1_wsg","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ruler chronologies place a Garaad Ali in power through 1776, though accession/name styling differs between lists."
"WTU","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The Witu Sultanate is a 19th-century polity; its known founding/ruler chronology does not extend to 1776."
"ALK","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO -- Russian-American Company did not yet exist in 1776","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Russian-American Company dates from 1799; first permanent Russian settlement on Kodiak dates from 1784."
"BRZ","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Luis de Almeida Portugal","Viceroy of Brazil","gov_cleanup2c1_brz","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"CUB","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Felipe de Fonsdeviela y Ondeano","Governor and Captain General of Cuba","gov_cleanup2c1_cub","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"GR5","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","José Solano y Bote","Governor and Captain General of Santo Domingo","gov_cleanup2c1_gr5","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"HAI","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Victor-Therese Charpentier","Governor-General of Saint-Domingue","gov_cleanup2c1_hai","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"HBC","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES -- obsolete forced company government architecture","YES -- forced country ruler/custom government did not control the native company executive pool","Removed direct country-ruler/custom-government workaround; registered a guaranteed historical candidate in the native company executive pool with company + executive_usage.","Sir Bibye Lake Jr.","Governor of the Hudson's Bay Company","gov_chartered_company (native Victoria 3 1.13)","Sir Bibye Lake Jr. -- historical executive candidate for company_hbc","NOT_DEFERRED","common/character_templates/cleanup2c1b_company_executives.txt; common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Sir Bibye Lake Jr. is supplied to the native HBC executive pool as the historically researched corporate Governor, not as a territorial sovereign."
"IQU","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The political Iquicha entity belongs to the independence-era royalist movements, not 1776."
"LOU","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Luis de Unzaga y Amézaga","Governor of Louisiana","gov_cleanup2c1_lou","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Some secondary sources differ on Unzaga's birth year; use approximate age, not an invented exact date."
"MKT","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","George I","King of the Miskito","gov_cleanup2c1_mkt","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","George II belongs later in 1776; at 1 January George I remains the safest assignment."
"NBS","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","New Brunswick was separated from Nova Scotia only in 1784."
"NVS","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Francis Legge","Governor of Nova Scotia","gov_cleanup2c1_nvs","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"ONT","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced",""
"PCO","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Miguel de Muesas","Governor and Captain General of Puerto Rico","gov_cleanup2c1_pco","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Muesas remained in office until June 1776; exact life dates are not sufficiently secure here."
"QUE","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Guy Carleton","Governor of Quebec","gov_cleanup2c1_que","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"SC1","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Antonio María de Bucareli y Ursúa","Viceroy of New Spain","gov_cleanup2c1_sc1","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS",""
"SC2","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Manuel de Guirior","Viceroy of New Granada","gov_cleanup2c1_sc2","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Guirior remained viceroy of New Granada until 1776 before moving to Peru."
"SC3","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Manuel de Amat y Junyent","Viceroy of Peru","gov_cleanup2c1_sc3","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Secondary sources disagree on exact birth year/date; keep age approximate."
"SC4","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Juan José de Vértiz y Salcedo","Governor of Buenos Aires","gov_cleanup2c1_sc4","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The viceroyalty was created during 1776 and took practical form in 1777; do not present it as an established viceroyalty on 1 January."
"BUK","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Displayed as Emir Daniyal Biy Ataliq Bahadur instead of Daniyal Biy Ataliq, Ataliq.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Daniyal Biy Ataliq","Ataliq","gov_cleanup2c1_buk","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Daniyal held effective power 1758–1785 while Abu'l-Ghazi Khan supplied Chinggisid legitimacy."
"KHI","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Muhammad Amin Inaq","Inaq","gov_cleanup2c1_khi","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The khanate's late-18th-century constitution separated nominal khanship from effective Qongrat inaq power."
"KOK","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Narbuta Biy","Biy","gov_cleanup2c1_kok","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Sources place Narbuta's accession around 1770–1774; all place him in power on 1776-01-01."
"KZH","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Nuraly Khan","Khan","gov_cleanup2c1_kzh","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","His authority was negotiated and confederal; Russian recognition/protectorate claims should not be read as direct provincial rule."
"OZH","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Ablai Khan","Khan","gov_cleanup2c1_ozh","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ablai was elected khan in 1771; Russian formal recognition of his Middle Zhuz title followed later."
"UZH","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The fork's centralized single-ruler tag overstates a fragmented and overlapping authority structure in 1776."
"EZO","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Matsumae Michihiro","Daimyo","gov_cleanup2c1_ezo","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The tag's territorial extent may exceed historically administered Matsumae lands and requires later map/population review."
"RYU","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Shō Boku","King","gov_cleanup2c1_ryu","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","Ryukyu was neither simply independent nor a normal one-overlord vassal in 1776."
"ARB","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","MAP_DIPLOMACY_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Research confirms the political context but not a sufficiently secure individual holder for 1776-01-01."
"BHN","IMPLEMENTED_PACKET_AUTHORIZED_REPRESENTATION","Not individually captured in the first user runtime; covered by the same static construction audit.","YES -- omitted last_name allowed procedural cultural surname/dynasty completion","YES/RISK -- government eligibility depended on a character marker set only in on_created","NO","Added explicit empty localized last-name component; removed late on_created marker from government eligibility so the tag-specific office wins at initialization.","Nasr al-Madhkur","Sheikh","gov_cleanup2c1_bhn","NOT_APPLICABLE","NOT_DEFERRED","common/history/characters/cleanup2c1 - non europe rulers 1776.txt; common/government_types/00_cleanup2c1_non_europe.txt; localization/english/cleanup2c1_non_europe_rulers_l_english.yml; localization/french/cleanup2c1_non_europe_rulers_l_french.yml","PASS","The Al Khalifa conquest dates to 1783, so later Bahraini dynastic assumptions are anachronistic for 1776."
"CHC","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","Sheikh Mansur's major unifying resistance belongs to the 1780s, not 1776."
"CIR","INTENTIONAL_PROCEDURAL_OR_STRUCTURAL_DEFERRED","Not individually captured in the first user runtime; covered by the same static construction audit.","NOT_APPLICABLE -- procedural/deferred identity intentionally retained","NOT_APPLICABLE -- procedural/deferred title intentionally retained","NO","None; preserved exactly as deferred/procedural.","Engine-generated placeholder retained; no historical identity forced","Engine procedural title retained","Existing effective government retained","NONE","POLITICAL_STRUCTURE_REWORK_DEFERRED","None (content preserved)","PASS -- deferred identity not forced","The fork centralizes a region that in 1776 contained multiple polities and social systems."
