"historical_identity","root_cause_group","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","source_mode","historical_occurrences","normalized_message","log10_classification","log11_decision","canonical_status","current_cleanup_blocker","gameplay_files_modified","deferred_to","design_dependencies","decision_reason"
"CL-040","CL-G01_TECH_PREREQUISITES","POR","Charity Hospitals","law_charitable_health_system","No Health System","common/history/countries/por - portugal.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Charity Hospitals, fix this or consider No Health System instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-041","CL-G01_TECH_PREREQUISITES","TRN","Censorship","law_censorship","Right of Assembly","common/history/countries/trn - transvaal.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-042","CL-G01_TECH_PREREQUISITES","ORA","Censorship","law_censorship","Right of Assembly","common/history/countries/ora - oranje.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-043","CL-G01_TECH_PREREQUISITES","ORA","National Militia","law_national_militia","Peasant Levies","common/history/countries/ora - oranje.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law National Militia, fix this or consider Peasant Levies instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-044","CL-G01_TECH_PREREQUISITES","FRM","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/frm - frankfurt am main.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-045","CL-G02_VARIANT_VISIBILITY","GAL","Serfdom","law_serfdom","Manorialism","common/history/countries/gal - austrian poland.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Serfdom, fix this or consider Manorialism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-046","CL-G01_TECH_PREREQUISITES","GR3","Censorship","law_censorship","Right of Assembly","common/history/countries/gr3 - sicily.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-047","CL-G01_TECH_PREREQUISITES","GR5","Censorship","law_censorship","Right of Assembly","common/history/countries/gr5 - spanish haiti.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-048","CL-G01_TECH_PREREQUISITES","GR5","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/gr5 - spanish haiti.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-049","CL-G01_TECH_PREREQUISITES","GR7","Mercantilism","law_mercantilism","Isolationism","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-050","CL-G01_TECH_PREREQUISITES","GR7","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-051","CL-G01_TECH_PREREQUISITES","HAM","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/ham - hamburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-052","CL-G01_TECH_PREREQUISITES","HAW","Public Schools","law_public_schools","No Schools","common/history/countries/haw - hawaii.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Public Schools, fix this or consider No Schools instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-053","CL-G01_TECH_PREREQUISITES","HEK","Censorship","law_censorship","Right of Assembly","common/history/countries/hek - hesse-kassel.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-054","CL-G01_TECH_PREREQUISITES","HEK","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hek - hesse-kassel.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-055","CL-G01_TECH_PREREQUISITES","HES","Censorship","law_censorship","Right of Assembly","common/history/countries/hes - hesse.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-056","CL-G01_TECH_PREREQUISITES","HES","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hes - hesse.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-057","CL-G01_TECH_PREREQUISITES","HOH","Censorship","law_censorship","Right of Assembly","common/history/countries/hoh - hohenzollern.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-058","CL-G01_TECH_PREREQUISITES","HOH","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hoh - hohenzollern.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-059","CL-G01_TECH_PREREQUISITES","HOL","Censorship","law_censorship","Right of Assembly","common/history/countries/hol - holstein.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-060","CL-G01_TECH_PREREQUISITES","HOL","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/hol - holstein.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-061","CL-G01_TECH_PREREQUISITES","HBC","Religious Schools","law_religious_schools","No Schools","common/history/countries/hbc - hubson bay company.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} Bay Company is not permitted to retain law Religious Schools, fix this or consider No Schools instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-062","CL-G01_TECH_PREREQUISITES","HBC","Total Separation","law_total_separation","State Religion","common/history/countries/hbc - hudson bay company.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} Bay Company is not permitted to retain law Total Separation, fix this or consider State Religion instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-063","CL-G01_TECH_PREREQUISITES","INDOP","Mercantilism","law_mercantilism","Isolationism","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-064","CL-G01_TECH_PREREQUISITES","INDOP","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-065","CL-G01_TECH_PREREQUISITES","LIP","Censorship","law_censorship","Right of Assembly","common/history/countries/lip - lippe.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-066","CL-G01_TECH_PREREQUISITES","LIP","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lip - lippe.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-067","CL-G01_TECH_PREREQUISITES","LUB","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lub - lubeck.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-068","CL-G01_TECH_PREREQUISITES","LUC","Censorship","law_censorship","Right of Assembly","common/history/countries/luc - lucca.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-069","CL-G01_TECH_PREREQUISITES","LUC","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/luc - lucca.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-070","CL-G01_TECH_PREREQUISITES","LUX","Censorship","law_censorship","Right of Assembly","common/history/countries/lux - luxemburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-071","CL-G01_TECH_PREREQUISITES","LUX","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/lux - luxemburg.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-072","CL-G01_TECH_PREREQUISITES","MEC","Censorship","law_censorship","Right of Assembly","common/history/countries/mec - mecklenburg.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-073","CL-G01_TECH_PREREQUISITES","MEI","Censorship","law_censorship","Right of Assembly","common/history/countries/mei - saxe-meiningen.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-074","CL-G01_TECH_PREREQUISITES","MEI","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mei - saxe-meiningen.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-075","CL-G01_TECH_PREREQUISITES","MOD","Censorship","law_censorship","Right of Assembly","common/history/countries/mod - modena.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-076","CL-G01_TECH_PREREQUISITES","MOD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/mod - modena.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-077","CL-G01_TECH_PREREQUISITES","MON","Censorship","law_censorship","Right of Assembly","common/history/countries/mon - montenegro.txt","EXPLICIT_ACTIVATE_LAW","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
"CL-078","CL-G01_TECH_PREREQUISITES","MST","Censorship","law_censorship","Right of Assembly","common/history/countries/mst - mecklenburg-strelitz.txt","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","DEFERRED_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NO","NO","LAW-SYSTEM-1776","TECH-TREE-1776|POLITICAL-MAP-ARCHITECTURE|PERIOD-LAWS|FINAL-HISTORICAL-LAW-ASSIGNMENT","Historical 1776 law assignment requires the deferred technology, political architecture, period-law, and final country-law design passes."
