tech_id,tech_name,localization_description,category,vanilla_era,technology_definition_file,icon,icon_exists,shared_icon,name_localization_exists,description_localization_exists,name_localization_source,description_localization_source,localization_validation,vanilla_prerequisites,vanilla_ai_weight,ai_weight_class,vanilla_direct_modifiers,scripted_modifiers_or_effects,other_direct_properties,can_research,unlock_count,unlock_summary,reference_count,reference_summary,current_mod_status,definition_delta,prerequisite_delta,modifier_delta,unlock_delta,ai_weight_delta,localization_delta,historical_concept,historical_window_estimate,early_tree_relevance,best_matching_v1_branch,best_matching_v1_node,secondary_matching_nodes,overlap_class,primary_action,secondary_actions,recommended_target_era,recommended_prerequisite_changes,recommended_unlock_changes,historical_problem,gameplay_problem,duplication_problem,implementation_risk,hardcoded_or_engine_sensitive,naval_great_wave_dependency,defer_to_tech_1b,regionalization_candidate,ai_weight_rework_risk,confidence,notes,source_definition_file
conveyors,Conveyors,By applying motors to belts it is possible to create platforms that move goods along them without the use of human labor.,Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/conveyers.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:170,localization/english/inventions_l_english.yml:171,OK,vulcanization;shift_work;electrical_generation,value = 1,STATIC,NONE,NONE,NONE,yes(default),6,production_methods=6,9,LOCALIZATION_ONLY=2; PM_REQUIREMENT=6; PREREQUISITE=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,By applying motors to belts it is possible to create platforms that move goods along them without the use of human labor.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:804
electric_arc_process,Electric Arc Process,By putting an electric arc through metal it is possible to smelt it more quickly and efficiently.,Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/electric_arc_process.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:196,localization/english/inventions_l_english.yml:197,OK,open_hearth_process,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,production_methods=1,4,LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,By putting an electric arc through metal it is possible to smelt it more quickly and efficiently.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:933
electric_railway,Electric Railways,"By using electricity to power the trains rather than steam, it is possible to have a much more reliable rail system.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/electric_railway.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:198,localization/english/inventions_l_english.yml:199,OK,electrical_capacitors;steel_railway_cars,value = 1 if = { limit = { OR = { has_strategy = ai_strategy_industrial_expansion has_strategy = ai_strategy_resource_expansion } } add = 1 },RESOURCE_CONDITIONAL,NONE,NONE,NONE,yes(default),7,production_methods=7,13,EVENT_CONDITION=3; EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=7,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=4,NONE,NONE,"By using electricity to power the trains rather than steam, it is possible to have a much more reliable rail system.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:836
electrical_capacitors,Electrical Capacitors,Electrical Capacitors allow for the increased usage of electricity without the necessity of having a directly connected generator.,Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/electrical_capacitors.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:631,localization/english/inventions_l_english.yml:632,OK,electrical_generation,value = 1 if = { limit = { OR = { has_strategy = ai_strategy_industrial_expansion has_strategy = ai_strategy_resource_expansion } } add = 1 },RESOURCE_CONDITIONAL,NONE,NONE,NONE,yes(default),3,production_methods=3,8,EVENT_CONDITION=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=3; PREREQUISITE=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,Electrical Capacitors allow for the increased usage of electricity without the necessity of having a directly connected generator.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:978
mechanized_farming,Mechanized Farming,"By replacing various aspect of physical farm labor with machine power, it is possible to increase the efficiency of farming greatly.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/mechanized_farming.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:290,localization/english/inventions_l_english.yml:291,OK,threshing_machine,value = 1 if = { limit = { OR = { has_strategy = ai_strategy_agricultural_expansion has_strategy = ai_strategy_plantation_economy } } add = 1 },RESOURCE_CONDITIONAL,NONE,NONE,NONE,yes(default),3,production_methods=3,7,LOCALIZATION_ONLY=2; PM_REQUIREMENT=3; TRIGGER=2,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"By replacing various aspect of physical farm labor with machine power, it is possible to increase the efficiency of farming greatly.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:748
nitrogen_fixation,Nitrogen Fixation,"By combining various chemicals at a high temperature, it is possible to create ammonia in large quantities.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/nitrogen_fixation.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:323,localization/english/inventions_l_english.yml:324,OK,improved_fertilizer,value = 1,STATIC,NONE,NONE,NONE,yes(default),3,production_methods=3,5,LOCALIZATION_ONLY=2; PM_REQUIREMENT=3,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"By combining various chemicals at a high temperature, it is possible to create ammonia in large quantities.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:917
pasteurization,Pasteurization,"Briefly heating milk and juices eliminates disease-carrying bacteria and enzymes, making the products safer to drink and prolonging their shelf-life.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/pasteurization.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:543,localization/english/inventions_l_english.yml:544,OK,vacuum_canning;electrical_capacitors,value = 1,STATIC,NONE,NONE,NONE,yes(default),3,production_methods=3,11,EVENT_CONDITION=3; EVENT_EFFECT=2; LOCALIZATION_ONLY=2; PM_REQUIREMENT=3; PREREQUISITE=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=5,NONE,NONE,"Briefly heating milk and juices eliminates disease-carrying bacteria and enzymes, making the products safer to drink and prolonging their shelf-life.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:821
plastics,Plastics,"There's a great future in plastics. They're moldable, malleable, able to be shaped and kept in any form anyone wants. Soon, it will be a plastic world.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/plastics.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:549,localization/english/inventions_l_english.yml:550,OK,reinforced_concrete,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,production_methods=1,7,EVENT_CONDITION=3; EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=4,NONE,NONE,"There's a great future in plastics. They're moldable, malleable, able to be shaped and kept in any form anyone wants. Soon, it will be a plastic world.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:963
pneumatic_tools,Pneumatic Tools,"One of the greatest forces man can harness is the air itself. Pressurized air, applied correctly in pipes and pistons, can provide an astounding amount of force for industrial use.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/pneumatic_tools.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:545,localization/english/inventions_l_english.yml:546,OK,rotary_valve_engine;reinforced_concrete,value = 1,STATIC,building_construction_sector_throughput_add=0.1;goods_output_hardwood_mult=0.25;country_resource_discovery_chance_mult=0.25,NONE,NONE,yes(default),5,buildings=3; journal_entries=2,8,BUILDING_REQUIREMENT=3; JOURNAL_REQUIREMENT=2; LOCALIZATION_ONLY=2; PREREQUISITE=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=2,NONE,NONE,"One of the greatest forces man can harness is the air itself. Pressurized air, applied correctly in pipes and pistons, can provide an astounding amount of force for industrial use.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:894
radio,Radio,By using invisible 'waves' it is possible to pass information over a great distance wirelessly.,Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/radio.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:370,localization/english/inventions_l_english.yml:371,OK,telephone,value = 1,STATIC,NONE,NONE,NONE,yes(default),2,production_methods=2,15,EVENT_CONDITION=8; EVENT_EFFECT=2; GUI_ONLY=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=10,NONE,NONE,By using invisible 'waves' it is possible to pass information over a great distance wirelessly.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1005
steam_turbine,Steam Turbine,"Using the power of steam to drive large rotors, turbines create tremendous amounts of energy that serve equally well as stationary machines in a plant and as the driving engines of seagoing vessels.",Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/steam_turbines.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:547,localization/english/inventions_l_english.yml:548,OK,electrical_generation,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,production_methods=1,8,EVENT_CONDITION=3; EVENT_EFFECT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=4,NONE,NONE,"Using the power of steam to drive large rotors, turbines create tremendous amounts of energy that serve equally well as stationary machines in a plant and as the driving engines of seagoing vessels.",Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:948
telephone,Telephone,Telephones make long distance communication viable allowing a much faster spread of information across the globe.,Production,era_4,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/telephone.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:441,localization/english/inventions_l_english.yml:442,OK,shift_work;electrical_generation,value = 1,STATIC,NONE,NONE,NONE,yes(default),5,buildings=1; company_types=4,15,BUILDING_REQUIREMENT=1; COMPANY_REQUIREMENT=7; EVENT_CONDITION=4; LOCALIZATION_ONLY=2; PREREQUISITE=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=4,NONE,NONE,Telephones make long distance communication viable allowing a much faster spread of information across the globe.,Mostly late 19th to early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_4 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,MEDIUM,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1020
arc_welding,Arc Welding,"By generating a large amount of electricity, it is possible to create enough heat to melt two pieces of metal together.",Production,era_5,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/arc_welding.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:83,localization/english/inventions_l_english.yml:84,OK,electric_arc_process;pneumatic_tools,value = 1,STATIC,country_ship_group_capital_ships_construction_progress_max_add=20,NONE,NONE,yes(default),4,company_types=1; production_methods=3,6,COMPANY_REQUIREMENT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=3,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"By generating a large amount of electricity, it is possible to create enough heat to melt two pieces of metal together.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1084
compression_ignition,Compression Ignition,A compression ignition engine ignites the fuel by compressing air and has the highest thermal efficiency of any engine.,Production,era_5,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/compression_ignition.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:160,localization/english/inventions_l_english.yml:161,OK,combustion_engine,value = 1,STATIC,NONE,NONE,NONE,yes(default),10,production_methods=10,13,EVENT_CONDITION=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=10,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,A compression ignition engine ignites the fuel by compressing air and has the highest thermal efficiency of any engine.,Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1105
dough_rollers,Dough Rollers,"To produce all the food demanded by a rapidly-growing population, traditional bakers won't suffice any longer.",Production,era_5,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/rollers.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:551,localization/english/inventions_l_english.yml:552,OK,conveyors,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,production_methods=1,3,LOCALIZATION_ONLY=2; PM_REQUIREMENT=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"To produce all the food demanded by a rapidly-growing population, traditional bakers won't suffice any longer.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1038
flash_freezing,Flash Freezing,"By subjecting food to a very low temperature, it can be quickly frozen, allowing it to be preserved for longer.",Production,era_5,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/flash_freezing.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:214,localization/english/inventions_l_english.yml:215,OK,pasteurization,value = 1,STATIC,NONE,NONE,NONE,yes(default),2,production_methods=2,4,LOCALIZATION_ONLY=2; PM_REQUIREMENT=2,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"By subjecting food to a very low temperature, it can be quickly frozen, allowing it to be preserved for longer.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1053
oil_turbine,Oil Turbine,"The power of a turbine can be amplified with the use of oil, a far more energy-rich fuel than coal.",Production,era_5,common/technology/technologies/10_production.txt,gfx/interface/icons/invention_icons/oil_turbines.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:553,localization/english/inventions_l_english.yml:554,OK,steam_turbine,value = 1,STATIC,NONE,NONE,NONE,yes(default),1,production_methods=1,3,LOCALIZATION_ONLY=2; PM_REQUIREMENT=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"The power of a turbine can be amplified with the use of oil, a far more energy-rich fuel than coal.",Mostly early 20th century,POST_1836_ONLY,NONE,NONE,NONE,NONE,KEEP,NONE,era_5 (preserve post-1836),Preserve current vanilla prerequisites pending post-1836 tree design.,Preserve current unlocks; no TECH-1A implementation.,No pre-1836 placement proposed; preserve vanilla era pending post-1836 design.,No blocking code defect identified; preserve current role pending integration.,No significant V1 duplication found.,LOW,NO,NO,NO,NO,NO,HIGH,Post-1836 role retained; V1 early-tree comparison not applicable.,common/technology/technologies/10_production.txt:1069
academia,Academia,"Institutions of higher education don't just improve individual minds, but bring the nation's best and brightest together, where they can create extraordinary things.",Society,era_1,common/technology/technologies/30_society.txt,gfx/interface/icons/invention_icons/academia.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:585,localization/english/inventions_l_english.yml:586,OK,rationalism,value = 1.5,STATIC,state_education_access_wealth_add=0.005,NONE,NONE,yes(default),4,buildings=1; journal_entries=1; laws=2,21,BUILDING_REQUIREMENT=1; EVENT_CONDITION=1; EVENT_EFFECT=6; JOURNAL_REQUIREMENT=1; LAW_REQUIREMENT=2; LOCALIZATION_ONLY=2; PREREQUISITE=3; TRIGGER=5,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=50,NONE,NONE,"Institutionalized Scientific Exchange; Institutions of higher education don't just improve individual minds, but bring the nation's best and brightest together, where they can create extraordinary things.",Pré-1700 puis expansion au XVIIIe siècle,DIRECT_1700_1836,Society V1,institutionalized_scientific_exchange,specialized_technical_academies;polytechnical_education;experimental_research_laboratories,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA I,Rewire toward V1 prerequisite logic: BASELINE_LITERACY_AND_KNOWLEDGE_NETWORKS,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"8 indexed relations and 21 occurrences make SPLIT an integration task, not a label-only edit.",VANILLA_BROADER overlap with institutionalized_scientific_exchange: Generic academia spans several institutional stages.,HIGH,NO,NO,NO,NO,NO,MEDIUM,Generic academia spans several institutional stages.,common/technology/technologies/30_society.txt:222
banking,Banking,"A vast financial institution, the bank provides security for public and private interests, and can become the centerpiece of a vast monetary network of investments, loans, and opportunities.",Society,era_1,common/technology/technologies/30_society.txt,gfx/interface/icons/invention_icons/banking.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:583,localization/english/inventions_l_english.yml:584,OK,currency_standards,value = 1.5,STATIC,country_minting_mult=0.1;country_loan_interest_rate_add=-0.02;state_max_trade_advantage_from_capacity_add=0.05,NONE,NONE,yes(default),0,NO_REVERSE_UNLOCK,10,EVENT_EFFECT=6; LOCALIZATION_ONLY=2; PREREQUISITE=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=2,NONE,NONE,"Institutionalized Public Credit; A vast financial institution, the bank provides security for public and private interests, and can become the centerpiece of a vast monetary network of investments, loans, and opportunities.",Fin XVIIe–XVIIIe siècle,DIRECT_1700_1836,Society V1,institutionalized_public_credit,commercial_insurance_markets;joint_stock_capital_markets;popular_savings_institutions,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA I,Rewire toward V1 prerequisite logic: BASELINE_FISCAL_ADMINISTRATION,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"5 indexed relations and 10 occurrences make SPLIT an integration task, not a label-only edit.",VANILLA_BROADER overlap with institutionalized_public_credit: Generic banking collapses several institutions.,HIGH,NO,NO,NO,NO,NO,MEDIUM,Generic banking collapses several institutions.,common/technology/technologies/30_society.txt:202
centralization,Centralization,"By centralizing administrative tasks within a logical hierarchy, standards of government operation can be developed that put achievements previously thought impossible within reach.",Society,era_1,common/technology/technologies/30_society.txt,gfx/interface/icons/invention_icons/centralization.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:124,localization/english/inventions_l_english.yml:125,OK,tech_bureaucracy,value = 1.5 if = { limit = { has_journal_entry = je_age_of_princes } add = 20 },OTHER,state_tax_capacity_add=25;country_institution_home_affairs_max_investment_add=1;state_incorporation_speed_mult=0.05,NONE,NONE,yes(default),4,decrees=2; journal_entries=1; production_methods=1,15,EVENT_CONDITION=2; EVENT_EFFECT=3; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=2; TRIGGER=2; UNLOCK=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=5,NONE,NONE,"Systematic Population Registration; By centralizing administrative tasks within a logical hierarchy, standards of government operation can be developed that put achievements previously thought impossible within reach.",Mid XVIIIe–early XIXe,DIRECT_1700_1836,Society V1,systematic_population_registration,systematic_administrative_statistics;systematic_cadastral_surveying;systematic_legal_codification,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA III,Rewire toward V1 prerequisite logic: systematic_administrative_statistics,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"9 indexed relations and 15 occurrences make SPLIT an integration task, not a label-only edit.",VANILLA_BROADER overlap with systematic_population_registration: Centralization is an outcome composed of administrative technologies.,HIGH,NO,NO,NO,NO,YES,MEDIUM,Centralization is an outcome composed of administrative technologies.,common/technology/technologies/30_society.txt:158
