tag,country_name,region,standing_force_establishment,standing_force_effective,infantry_personnel,cavalry_personnel,artillery_personnel,engineer_or_specialist_personnel,garrison_personnel,colonial_or_company_personnel,other_permanent_personnel,infantry_organizational_units,cavalry_organizational_units,artillery_batteries_or_units,artillery_pieces,militia,levy,reserve,mobilization_potential,regular_force_definition,irregular_force_definition,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,identity_confidence,quantitative_confidence,composition_confidence,research_status,notes
FRA,France,Europe,transitional reform establishment; exact Jan-1776 total not directly exposed by accessible SHD catalogue,,"reform trajectory toward 168,000","reform trajectory toward 46,000","6,576 (1 May 1774) -> 11,939 (1 May 1777)",,,,,,,,,provincial troops separate,,,,Royal permanent forces under Saint-Germain reforms; exact month-by-month strength changed during 1775–77 reorganization.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.","1774–1777, with exact 1776 archival series identified",Transition centered on 1776,https://www.servicehistorique.sga.defense.gouv.fr/ark/1149522,https://www.servicehistorique.sga.defense.gouv.fr/ark/1147411,https://www.mediterranee-antique.fr/Auteurs/Fichiers/JKL/Lavisse/Histoire_France/T91/T91_13.htm,Accessible primary catalogues identify exact 1776 tables but do not expose a machine-readable total; later synthesis reports reform endpoints.,"150,000–180,000 regular personnel as a cautious 1776 conversion range pending archival transcription; do not use the later full reform endpoint as exact Jan strength.",HIGH,MEDIUM,MEDIUM,QUANTITATIVE_MEDIUM_CONFIDENCE,Use range only for 2D-2 sensitivity analysis; exact infantry/cavalry/artillery shares should be reconstructed conservatively.
FRM,Frankfurt,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
FTJ,Futa Jallon,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
FTR,Futa Toro,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
GAL,Galicia-Lodomeria,Europe,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Galicia-Lodomeria is Habsburg territory; its troops belong to Habsburg establishment.
GAR,Garhwal,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
GBR,Great Britain,Europe,"almost 50,000",,,,,,"7,000 British regulars in North America in 1775 (subset of global establishment)",,,,,,,not included in regular establishment,,,"wartime reinforcement rapidly expanded; 1776 New York operation planned around 30,000 troops","Global British regular Army establishment; colonial deployment is a subset, not an addition to the same men.","Militia, provincial units, German auxiliaries and colonial forces must be modeled separately.",1775–1776,1775 peacetime establishment; 1775 colonial deployment; 1776 expedition planning,https://academic.oup.com/reference/62333/reference-article-abstract/554063602,https://www.nam.ac.uk/explore/american-war-independence-outbreak,https://history.army.mil/Publications/Publications-Catalog/The-New-York-Campaign/,Sources measure different scopes (global establishment vs North American deployment vs wartime expedition).,"48,000–50,000 regular establishment at the 1775/early-1776 baseline; wartime overseas force must not be added twice.",HIGH,HIGH,MEDIUM,QUANTITATIVE_HIGH_CONFIDENCE,"Current fork 121,000 V3 land manpower is substantially above the documented peacetime regular establishment; later Hessian/war expansion is not a Jan-1776 baseline."
GEN,Most Serene Republic of Genoa,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
GLD,Geledi,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
GR3,Sicily,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
GR5,Santo Domingo,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Saint-Domingue is a French colony; do not treat its garrisons/militia as an independent national army/navy.
GWA,Gwalior,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
HAI,Haiti,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Independent Haiti does not exist in 1776; military forces belong to colonial Saint-Domingue structures.
HAM,Hamburg,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
HAN,Hanover,Europe,"21,000",,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",1777,1777 (one year after target),https://journals.sagepub.com/doi/10.1177/0968344513483071,,,Near-date 1777 figure; no exact 1 Jan 1776 strength in the cited table.,"21,000 near-date establishment; allow a narrow 1776 adjustment only if 2D-2 finds country-specific evidence.",HIGH,HIGH,LOW,QUANTITATIVE_HIGH_CONFIDENCE,"Use as establishment-scale anchor, not a direct V3 target. Composition requires separate approximation."
HAU,Gobir,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
HAW,Hawaii,Oceania,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers.
HBC,Hudson's Bay Company,Other / requires map review,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,
HDJ,Hedjaz,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,https://www.cambridge.org/core/books/abs/cambridge-history-of-turkey/semiautonomous-provincial-forces-in-the-balkans-and-anatolia/B43D84E35B5E62284DE3F40F79F602B1,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
HEK,Hesse-Kassel,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
HES,Hesse-Darmstadt,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
HOH,Hohenzollern,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
HOL,Holstein,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
HUN,Hungary,Europe,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Hungarian components contribute to Habsburg military establishment; avoid double-counting Austria and Hungary as separate full armies.
HYD,Hyderabad,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
IQU,Iquicha,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers.
IR1,Mamluk Iraq,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,https://www.cambridge.org/core/books/abs/cambridge-history-of-turkey/semiautonomous-provincial-forces-in-the-balkans-and-anatolia/B43D84E35B5E62284DE3F40F79F602B1,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
IREK,Kingdom of Ireland,Europe,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Kingdom of Ireland is under the British Crown; British Army establishment/garrison attribution must avoid double-counting.
ISQ,Isaaq,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
JAP,Japan,East Asia,,,,,,,,,,,,,,,,,,Polity-specific hereditary/professional/garrison institutions; not automatically equivalent to European field armies.,Local/domain/provincial mobilization must be separated from central standing forces.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Retain institutional distinctions; exact deployable field strength may differ sharply from administrative establishment.
JEY,Jeypore,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
JMB,Jambi,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
JOH,Johore,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
KAU,Kaurna,Oceania,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers.
KHI,Khiva,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
KHP,Kolhapur,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
KNO,Kurnool,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
KOK,Kokand,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
KON,Kongo,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
KOR,Korea,East Asia,,,,,,,,,,,,,,,,,,Five central military camps plus local provincial army coexisted.,Local military obligations and support registers should not be treated as full-time field soldiers.,17th–18th-century institutional study; quantitative finance cross-check from 1794,Structural evidence valid for late Joseon; 1794 quantitative point is too late for direct 1776 use,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001986042,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001807960,,,"QUALITATIVE_ONLY for 1776; later ~17,000 on-duty central soldiers is corroboration, not a back-cast.",HIGH,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,"Current fork has 30 barracks but no formation. 2D-2 should reconstruct a modest central standing force plus local capacity, not treat all registers as permanent."
KRG,Karagwe,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
KRT,Kaarta,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
KTI,Kutai,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
KZH,Kishi Zhuz,Central Asia / Caucasus,,,,,,,,,,,,,,,,,,Household/guard and any demonstrably permanent paid forces.,Tribal/confederal cavalry and campaign levies form a large share of potential strength.,,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives.
LAH,Lahej,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
LAN,Lanfang,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
LIP,Lippe-Detmold,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
LOU,Louisiana,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Louisiana is a Spanish colonial possession in 1776; not an independent national military.
LUA,Luang Prabang,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
LUB,Lübeck,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
LUC,Lucca,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
LUX,Luxembourg,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
MAD,Madagascar,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
MARATH,Maratha Confederacy,South Asia,,,,,,,,,,,,,,,,,,"Confederal core forces including cavalry, infantry and artillery; no single centralized European-style establishment.","Chiefly/household contingents, cavalry retainers, tributary forces and campaign-following logistics must be kept distinct.",18th-century structural evidence,Regional/system evidence,https://www.cambridge.org/core/books/marathas-16001818/1098497E96D2AFA760D18DB311A91C80/listing,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,,Campaign armies do not equal permanent establishment; confederal components vary by chief and campaign.,QUALITATIVE_ONLY pending chief-by-chief conversion logic,HIGH,VERY_LOW,MEDIUM,QUALITATIVE_ONLY,The source explicitly shows heavy cavalry plus infantry/artillery and a very large support train; do not infer soldier count from camp size.
MAS,Mascara,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
MBS,Mombasa,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
MEC,Mecklenburg-Schwerin,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
MEI,Saxe-Meiningen,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
MGD,Maguindanao,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
