"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"DUR","Afghanistan","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","76","76000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Durrani household/core separated from tribal confederal mobilization.","35","55","45","22","22","1","0","REGIONAL_MODEL","LOW","45","TRIBAL_CONFEDERAL_LEVY","120","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-31","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Durrani household/core separated from tribal confederal mobilization.","2"
"ETH","Ethiopia","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","12","20","16","11","4","0","1","QUALITATIVE_MODEL","LOW","16","MILITIA_LEVY_OR_LOCAL_OBLIGATION","48","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","16","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"EZO","Ezochi","HEREDITARY_GARRISON_PLUS_LOCAL_OBLIGATION","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_LEVY_OR_LOCAL_OBLIGATION","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","Retain institutional distinctions; exact deployable field strength may differ sharply from administrative establishment. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"FRA","France","EUROPEAN_REGULAR_STATE","187","187000","150000","180000","150000-180000 transitional range","Standing core excludes militia/levy; garrison burden included in modeled range","1.00 within cautious historical range","Saint-Germain transitional range; composition normalized from personnel reform trajectory.","150","180","165","138","19","8","0","EXACT_PERSONNEL","MEDIUM","165","MILITIA_RESERVE","80","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-22","NO","","NO","MEDIUM","QUANTITATIVE_MEDIUM_CONFIDENCE","Use range only for 2D-2 sensitivity analysis; exact infantry/cavalry/artillery shares should be reconstructed conservatively. Saint-Germain transitional range; composition normalized from personnel reform trajectory.","4"
"FRM","Frankfurt","EUROPEAN_REGULAR_STATE","1","1000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","REGIONAL_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"FTJ","Futa Jallon","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"FTR","Futa Toro","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"GAL","Galicia-Lodomeria","HABSBURG_COMPONENT","0","0","","","","Handled by structural resolution","","Habsburg Galicia garrison allocation from parent pool.","8","14","12","9","2","1","0","QUALITATIVE_MODEL","VERY_LOW","12","MILITIA_LEVY_OR_LOCAL_OBLIGATION","18","ALLOCATE_FROM_OVERLORD_POOL","12","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Galicia-Lodomeria is Habsburg territory; its troops belong to Habsburg establishment. Habsburg Galicia garrison allocation from parent pool.","1"
"GAR","Garhwal","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","3","3000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","1","1","0","0","REGIONAL_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"GBR","Great Britain","GLOBAL_IMPERIAL_REGULAR","121","121000","48000","50000","48000-50000 regular establishment","Overseas garrisons included within global 48000-50000 regular pool","0.96-1.00 of regular establishment","Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","48","50","49","42","5","2","0","REGIONAL_MODEL","MEDIUM","49","MILITIA_RESERVE","60","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-72","NO","","YES","HIGH","QUANTITATIVE_HIGH_CONFIDENCE","Current fork 121,000 V3 land manpower is substantially above the documented peacetime regular establishment; later Hessian/war expansion is not a Jan-1776 baseline. Global Crown regular establishment only; overseas deployments are subsets and auxiliaries are excluded.","5"
"GEN","Most Serene Republic of Genoa","EUROPEAN_REGULAR_STATE","2","2000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","2","0","0","0","REGIONAL_MODEL","LOW","2","MILITIA_RESERVE","1","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"GLD","Geledi","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","1","1","0","0","QUALITATIVE_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","6","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","2","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"GR3","Sicily","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"GR5","Santo Domingo","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Saint-Domingue is a French colony; do not treat its garrisons/militia as an independent national army/navy. Numeric independent-force target withheld pending structural/map resolution.",""
"GWA","Gwalior","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","43","43000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Maratha-state core only.","24","38","30","18","10","2","0","REGIONAL_MODEL","LOW","30","MILITIA_LEVY_OR_LOCAL_OBLIGATION","50","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-13","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; Maratha-state core only.","1"
"HAI","Haiti","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","20","20000","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","REGIONAL_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","NO_INDEPENDENT_1776_FORCE","","YES","NO_INDEPENDENT_1776_FORCE","YES","VERY_LOW","STRUCTURAL_DEFER","Independent Haiti does not exist in 1776; military forces belong to colonial Saint-Domingue structures. Numeric independent-force target withheld pending structural/map resolution.",""
"HAM","Hamburg","EUROPEAN_REGULAR_STATE","1","1000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","REGIONAL_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HAN","Hanover","EUROPEAN_REGULAR_STATE","18","18000","21000","21000","21000 establishment","Standing core excludes militia/levy; garrison burden included in modeled range","1,000","Near-date 21,000 establishment.","19","22","21","16","3","2","0","REGIONAL_MODEL","LOW","21","MILITIA_RESERVE","10","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","3","NO","","YES","HIGH","QUANTITATIVE_HIGH_CONFIDENCE","Use as establishment-scale anchor, not a direct V3 target. Composition requires separate approximation. Near-date 21,000 establishment.","1"
"HAU","Gobir","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HAW","Hawaii","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","LOCAL_MILITIA_ONLY","","YES","LOCAL_MILITIA_ONLY","YES","VERY_LOW","STRUCTURAL_DEFER","Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers. Numeric independent-force target withheld pending structural/map resolution.",""
"HBC","Hudson's Bay Company","CORPORATE_LOCAL_SECURITY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","Corporate fort/security scale only; no national field army.","1","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","1","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Corporate fort/security scale only; no national field army.","1"
"HDJ","Hedjaz","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","2","1","0","1","QUALITATIVE_MODEL","LOW","4","PROVINCIAL_TRIBAL_CONTINGENTS","8","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HEK","Hesse-Kassel","EUROPEAN_REGULAR_STATE","6","6000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","4","7","5","4","1","0","0","REGIONAL_MODEL","LOW","5","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HES","Hesse-Darmstadt","EUROPEAN_REGULAR_STATE","5","5000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","REGIONAL_MODEL","LOW","4","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HOH","Hohenzollern","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HOL","Holstein","EUROPEAN_REGULAR_STATE","4","4000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","REGIONAL_MODEL","LOW","4","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"HUN","Hungary","HABSBURG_COMPONENT","37","37000","","","","Handled by structural resolution","","Habsburg allocation; not an additional Hungarian national establishment.","24","32","28","20","6","2","0","REGIONAL_MODEL","VERY_LOW","28","MILITIA_LEVY_OR_LOCAL_OBLIGATION","35","ALLOCATE_FROM_OVERLORD_POOL","-9","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Hungarian components contribute to Habsburg military establishment; avoid double-counting Austria and Hungary as separate full armies. Habsburg allocation; not an additional Hungarian national establishment.","1"
"HYD","Hyderabad","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","34","34000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core only.","22","34","28","18","8","2","0","REGIONAL_MODEL","LOW","28","MILITIA_LEVY_OR_LOCAL_OBLIGATION","50","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-6","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core only.","1"
"IQU","Iquicha","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","MAP_REWORK_DEFERRED","","YES","MAP_REWORK_DEFERRED","YES","VERY_LOW","STRUCTURAL_DEFER","Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers. Numeric independent-force target withheld pending structural/map resolution.",""
"IR1","Mamluk Iraq","HOUSEHOLD_CORE_PLUS_TRIBAL_PROVINCIAL_FORCE","14","14000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","8","13","10","5","4","1","0","REGIONAL_MODEL","LOW","10","PROVINCIAL_TRIBAL_CONTINGENTS","20","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-4","NO","","YES","LOW","QUALITATIVE_ONLY","No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"IREK","Kingdom of Ireland","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","Kingdom of Ireland is under the British Crown; British Army establishment/garrison attribution must avoid double-counting. Numeric independent-force target withheld pending structural/map resolution.",""
"ISQ","Isaaq","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"JAP","Japan","HEREDITARY_GARRISON_PLUS_LOCAL_OBLIGATION","58","58000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; hereditary/domain field core below administrative obligations.","35","50","42","38","4","0","0","REGIONAL_MODEL","LOW","42","MILITIA_LEVY_OR_LOCAL_OBLIGATION","70","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-16","NO","","YES","LOW","QUALITATIVE_ONLY","Retain institutional distinctions; exact deployable field strength may differ sharply from administrative establishment. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; hereditary/domain field core below administrative obligations.","2"
"JEY","Jeypore","HOUSEHOLD_CORE_PLUS_MERCENARY_LEVY","4","4000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","2","4","3","2","1","0","0","REGIONAL_MODEL","LOW","3","MILITIA_LEVY_OR_LOCAL_OBLIGATION","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"JMB","Jambi","COURT_GARRISON_PLUS_MANDALA_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1","3","2","2","0","0","0","QUALITATIVE_MODEL","LOW","2","MILITIA_LEVY_OR_LOCAL_OBLIGATION","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","2","NO","","YES","LOW","QUALITATIVE_ONLY","Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
