tag,country_name,desired_2d2,pre_3d_conscripts,3d_added_conscripts,3d_effective_scripted_total,true_native_max,structural_defer,final_scripted_target,r1_delta,final_effective_conscripts,status,notes
TID,Tidore,4,0,1,1,5,NO,4,3,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TRA,Travancore,10,0,1,1,3,NO,3,2,3,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TRI,Tripolitania,12,0,2,2,9,NO,9,7,9,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TRN,Transvaal,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TRS,Transylvania,15,0,0,0,8,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TUG,Touggourt,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TUN,Tunis,10,0,8,8,14,NO,10,2,10,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TUR,Ottoman Empire,150,0,140,140,279,NO,150,10,150,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
TUS,Tuscany,4,0,2,2,5,NO,4,2,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
UBD,United Baltic Provinces,0,0,0,0,4,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
UNT,United Tribes,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
USA,America,80,0,58,58,118,NO,80,22,80,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
UZH,Uly Zhuz,0,0,0,0,2,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
VEN,Venice,6,0,3,3,13,NO,6,3,6,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WAD,Wadai,12,0,1,1,4,NO,4,3,4,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WAL,Wallachia,2,0,2,2,24,NO,2,0,2,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WBL,Griqualand,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WEI,Saxe-Weimar-Eisenach,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WLD,Waldeck,0,0,0,0,1,NO,0,0,0,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WSG,Warsangali,3,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WTU,Witu,0,0,0,0,1,YES,0,0,0,STRUCTURAL_DEFER,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
WUR,Württemberg,6,0,4,4,5,NO,5,1,5,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
YOG,Yogyakarta,2,0,0,0,1,NO,1,1,1,PASS_WITH_NATIVE_SHORTFALL,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
ZAI,Azal,4,0,4,4,10,NO,4,0,4,PASS,"3E save extras are user recruitment-test additions, not pre-3D scripted conscripts."
