Owner_TAG,State_ID,State_Name,Current_Level,Target_Level,Delta,Trade_Role,Main_Commercial_Function,Confidence,Source_1,Source_2,Notes
BUK,STATE_UZBEKIA,Uzbekia,0,1,1,TRADE_CENTER,Bukhara had commercial infrastructure supporting long-distance trade and warehouse/caravanserai property.,HIGH,https://www.iranicaonline.org/articles/central-asia-xi/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
CAUC,STATE_GREATER_CAUCASUS,Tiflis,0,1,1,TRADE_CENTER,Tiflis had a dense merchant/craftsman urban economy and functioned as a Caucasian trade hub.,HIGH,https://www.cambridge.org/core/journals/nationalities-papers/article/abs/russian-rule-and-caucasian-society-in-the-first-half-of-the-nineteenth-century-the-georgian-nobility-and-the-armenian-bourgeoisie-18011856/6C9A543D45C030E83A35A027905E79EE,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
DFR,STATE_DARFUR,Darfur,0,1,1,TRADE_CENTER,Darfur participated in long-distance caravan trade toward Egypt and the central Sudan; one conservative level.,MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
DUR,STATE_BALKH,Southern Turkestan,0,1,1,TRADE_CENTER,Balkh was a major oasis and trans-Eurasian commercial center tied to Bukhara and Afghanistan.,HIGH,https://www.iranicaonline.org/articles/central-asia-xi/,https://www.iranicaonline.org/articles/india-xxxi-indian-merchants-in-19th-century-afghanistan/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
DUR,STATE_HERAT,Herat,0,1,1,TRADE_CENTER,Herat sat on major Iran–Central Asia–Afghanistan routes and supported merchant communities.,HIGH,https://www.iranicaonline.org/articles/india-xxxi-indian-merchants-in-19th-century-afghanistan/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
DUR,STATE_KABUL,Kabulistan,1,1,0,TRADE_CENTER,"Indian merchant communities expanded in Kabul during Durrani state formation, supporting long-distance trade.",HIGH,https://www.iranicaonline.org/articles/india-xxxi-indian-merchants-in-19th-century-afghanistan/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
DUR,STATE_KANDAHAR,Kandahar,0,1,1,TRADE_CENTER,"Kandahar connected Indian, Persian and Central Asian commercial routes and merchant communities.",HIGH,https://www.iranicaonline.org/articles/india-xxxi-indian-merchants-in-19th-century-afghanistan/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
HDJ,STATE_HEDJAZ,Hedjaz,0,1,1,TRADE_CENTER,Jeddah was a genuine long-distance redistribution center tied to pilgrimage and Red Sea/Indian Ocean trade.,HIGH,https://www.cambridge.org/core/journals/journal-of-global-history/article/between-commerce-and-sanctity-ottoman-policies-and-international-boundaries-in-the-early-modern-red-sea/940FD84400E0A8584345C5108C10956A,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
IR1,STATE_BAGHDAD,Baghdad,0,1,1,TRADE_CENTER,"Baghdad was a major caravan redistribution center between Persia, Syria and Basra.",HIGH,https://www.iranicaonline.org/articles/caravansary/,https://www.cambridge.org/core/journals/international-journal-of-middle-east-studies/article/ottoman-shipping-in-the-indian-ocean-circa-16501900/434125ABA76399828893476152D21D8E,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
IR1,STATE_BASRA,Basra,1,1,0,TRADE_CENTER,Basra was a genuine international entrepôt with European factories and Indian Ocean connections.,HIGH,https://www.cambridge.org/core/journals/international-journal-of-middle-east-studies/article/ottoman-shipping-in-the-indian-ocean-circa-16501900/434125ABA76399828893476152D21D8E,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
KHI,STATE_TURKMENIA,Turkmenia,0,1,1,TRADE_CENTER,Khiva remained a khanate caravan center despite eighteenth-century instability; one conservative level.,MEDIUM,https://www.iranicaonline.org/articles/central-asia-vii/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
KOK,STATE_TAJIKISTAN,Tajikistan,0,1,1,TRADE_CENTER,"Fergana-region trade was important, but one level is the maximum conservative seed in this partition.",MEDIUM,https://www.iranicaonline.org/articles/central-asia-vii/,https://www.iranicaonline.org/articles/central-asia-xi/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
MAS,STATE_ALGIERS,Algiers,1,1,0,TRADE_CENTER,"These were genuine Mediterranean commercial/corsair redistribution centers, not merely urban markets.",HIGH,https://www.cambridge.org/core/books/abs/sea-in-history-the-early-modern-world/les-ports-du-maghreb-a-lepoque-moderne/C8E93D4F023E97B301CF0783D1EF1ECD,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
MAS,STATE_ORAN,Oran,0,1,1,TRADE_CENTER,"These were genuine Mediterranean commercial/corsair redistribution centers, not merely urban markets.",HIGH,https://www.cambridge.org/core/books/abs/sea-in-history-the-early-modern-world/les-ports-du-maghreb-a-lepoque-moderne/C8E93D4F023E97B301CF0783D1EF1ECD,https://www.cambridge.org/core/books/history-of-algeria/ecologies-societies-cultures-and-the-state-15161830/6C59DEAD9F70913EC060EDD1465FA6A5,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
MOR,STATE_FEZ,Fez,0,1,1,TRADE_CENTER,Fez was a major inland commercial and craft center with long-distance caravan links.,HIGH,https://www.cambridge.org/core/books/abs/sea-in-history-the-early-modern-world/les-ports-du-maghreb-a-lepoque-moderne/C8E93D4F023E97B301CF0783D1EF1ECD,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
MOR,STATE_MARRAKECH,Marrakech,1,1,0,TRADE_CENTER,Marrakech was an important inland caravan/redistribution market; one level only.,MEDIUM,https://www.cambridge.org/core/books/abs/sea-in-history-the-early-modern-world/les-ports-du-maghreb-a-lepoque-moderne/C8E93D4F023E97B301CF0783D1EF1ECD,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
MSN,STATE_TIMBUKTU,Timbuktu,0,1,1,TRADE_CENTER,Timbuktu was a genuine trans-Saharan redistribution and caravan market; one level only.,HIGH,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
NEP,STATE_HIMALAYAS,Western Himalayas,0,1,1,TRADE_CENTER,Nepal was an important intermediary in trans-Himalayan trade with Tibet.,MEDIUM,https://www.cambridge.org/core/books/abs/narratives-of-the-mission-of-george-bogle-to-tibet/trade-of-tibet/9B11E89C4A170CD2B4DB5544656947DF,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
OMA,STATE_OMAN,Oman,1,1,0,TRADE_CENTER,Muscat was a genuine regional entrepôt with foreign agencies and long-distance Indian Ocean commerce.,HIGH,https://omaninfo.om/en/pages/161/show/572,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
PER,STATE_FARS,Fars,0,1,1,TRADE_CENTER,"Shiraz/Bushehr formed the core of Zand foreign trade, including EIC agencies and Indian/Armenian merchants.",HIGH,https://www.iranicaonline.org/articles/karim-khan-zand/,https://www.iranicaonline.org/articles/commerce-vi/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
PER,STATE_ISFAHAN,Isfahan,0,1,1,TRADE_CENTER,Isfahan remained a central bazaar and caravan nexus even after losing capital status.,HIGH,https://www.iranicaonline.org/articles/commerce-vi/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
PER,STATE_KHORASAN,Khorasan,0,1,1,TRADE_CENTER,Mashhad/Khorasan lay on Iran–Central Asia–Afghanistan caravan routes; one conservative trade-center seed.,MEDIUM,https://www.iranicaonline.org/articles/caravansary/,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
PER,STATE_TABRIZ,Tabriz,0,1,1,TRADE_CENTER,"Tabriz sat on major routes to Anatolia, the Caucasus and central Iran; one long-distance trade-center level is justified.",HIGH,https://www.iranicaonline.org/articles/caravansary/,https://www.iranicaonline.org/articles/commerce-vi/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
RUS,STATE_ASTRAKHAN,Astrakhan,0,1,1,TRADE_CENTER,Astrakhan was a major gateway for Persian and Central Asian merchants into Muscovy/Russia.,HIGH,https://www.cambridge.org/core/journals/itinerario/article/passage-to-india-rhetoric-and-diplomacy-between-muscovy-and-central-asia-in-the-seventeenth-century/6F44E4354E2D87889FC2995CB1C1AEAF,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TIB,STATE_LHASA,Lhasa,0,1,1,TRADE_CENTER,"Lhasa hosted foreign merchant communities and long-distance trade with Nepal, Kashmir, India and China. || Lhasa was the convergence point of Nepal, Ladakh, Sichuan and Qing trade routes",HIGH,https://www.cambridge.org/core/books/abs/narratives-of-the-mission-of-george-bogle-to-tibet/trade-of-tibet/9B11E89C4A170CD2B4DB5544656947DF,https://academic.oup.com/edited-volume/61799/chapter/546340776,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv | PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv
TRI,STATE_TRIPOLI,Tripoli,0,1,1,TRADE_CENTER,Tripoli was the Mediterranean terminus of important Fezzan/Sudan caravan traffic and maritime redistribution.,HIGH,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/la-traite-des-esclaves-noirs-en-libye-au-xviiie-siecle/7245C0AEDD8C0103C7AF3AC0CE314C0F,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TUN,STATE_TUNISIA,Tunisia,1,1,0,TRADE_CENTER,Tunis was increasingly commercial in the eighteenth century and functioned as a major Mediterranean market.,HIGH,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/esclaves-chretiens-et-esclaves-noirs-a-tunis-au-xviiie-siecle/B6D63DDA1CDEE63BFF2CE876BB6F3657,https://www.cambridge.org/core/books/abs/sea-in-history-the-early-modern-world/les-ports-du-maghreb-a-lepoque-moderne/C8E93D4F023E97B301CF0783D1EF1ECD,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TUR,STATE_ALEPPO,Aleppo,0,1,1,TRADE_CENTER,Aleppo was a major long-distance caravan and Levant commercial node; one level is deliberately conservative.,HIGH,https://www.cambridge.org/core/journals/international-review-of-social-history/article/ottoman-guilds-in-the-early-modern-era/DBB9453C3BE34AEE2D4F8D3C9E390BAA,https://www.cambridge.org/core/books/cambridge-economic-history-of-the-modern-world/ottoman-empire-17001870/959242AE1899EE1E65604E39DE555F80,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TUR,STATE_AYDIN,Aydin,1,1,0,TRADE_CENTER,İzmir was a genuine long-distance entrepôt with complex financial and merchant functions; one trade-center level is conservative.,HIGH,https://www.cambridge.org/core/journals/new-perspectives-on-turkey/article/trade-between-ottoman-empire-and-western-europe-the-case-of-izmir-in-the-eighteenth-century/AC7D4DED87714CEB8B70DF9899AA7D27,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TUR,STATE_LEBANON,Lebanon,0,1,1,TRADE_CENTER,Levantine redistribution through coastal merchant towns is significant enough for one conservative seed.,MEDIUM,https://www.cambridge.org/core/journals/international-journal-of-middle-east-studies/article/abs/international-and-domestic-maritime-trade-in-the-ottoman-empire-during-the-18th-century/969BB1866B6A501B7F4BCB43D8A45BD6,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
TUR,STATE_LOWER_EGYPT,Lower Egypt,0,1,1,TRADE_CENTER,Cairo/Delta formed a genuine redistribution hub for Egyptian grain and Yemeni/Red Sea commodities; one level is conservative.,HIGH,https://www.cambridge.org/core/books/abs/cambridge-history-of-egypt/egypt-in-the-eighteenth-century/D758288694AE203CDF5A78CD9A5CAE56,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv
AWA,STATE_AWADH,Oudh,0,2,2,TRADE,Lucknow/Faizabad formed a major regional court-market and credit centre.,MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BHV,STATE_GUJARAT,Gujarat,0,3,3,TRADE,"Surat and Gujarat merchant networks connected the Gulf, Red Sea, India and Asian markets.",HIGH,https://www.cambridge.org/core/books/gulf-in-world-history/merchant-communities-and-crosscultural-trade-between-gujarat-and-the-gulf-in-the-late-seventeenth-and-eighteenth-centuries/C38AA854C77223A643D49E2435513E2B,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/companies-in-india-the-politics-and-the-economics-of-trade/139B3B0E5509125DDF2F8B6AF44D5E4D,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BIC,STATE_BIHAR,Bihar,0,2,2,TRADE,Patna was an organized centre for opium and saltpetre contracting and long-distance transport.,HIGH,https://www.cambridge.org/core/journals/international-review-of-social-history/article/contract-work-and-resistance-boatmen-in-early-colonial-eastern-india-1760s1850s/F839EA9C4FFBB04A9DC2F6A9145CD0E8,https://www.cambridge.org/core/journals/modern-asian-studies/article/poor-mans-crop-evading-opium-monopoly/199D0743201BF76C8ADA72F625B85FAD,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BIC,STATE_CIRCARS,Northern Circars,1,2,1,TRADE,Coromandel ports redistributed textiles and Asian trade goods into long-distance networks.,HIGH,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/trade-and-political-dominion-in-south-india-17501790-changing-britishindian-relationships/65275722334D44F65897688CB3991E88,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/companies-in-india-the-politics-and-the-economics-of-trade/139B3B0E5509125DDF2F8B6AF44D5E4D,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BIC,STATE_EAST_BENGAL,East Bengal,0,2,2,TRADE,Dacca and eastern Bengal were central procurement and redistribution zones for export textiles and grain.,HIGH,https://www.cambridge.org/core/journals/modern-asian-studies/article/from-negotiation-to-coercion-textile-manufacturing-in-india-in-the-eighteenth-century/9ECA84ADA531FC112E225221E773267D,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/companies-in-india-the-politics-and-the-economics-of-trade/139B3B0E5509125DDF2F8B6AF44D5E4D,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BIC,STATE_WEST_BENGAL,West Bengal,12,3,-9,TRADE,"Calcutta/Hughli concentrated Company trade, customs, shipping and redistribution for Bengal’s world-scale exports.",HIGH,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/companies-in-india-the-politics-and-the-economics-of-trade/139B3B0E5509125DDF2F8B6AF44D5E4D,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/supremacy-of-the-english-east-india-company-17401800/C8B95DB31DCE70D3E31FDD48C7B26862,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
BUR,STATE_MANDALAY,Mandalay,0,1,1,DOMESTIC_NATIONAL,Growing monetized market towns and inland exchange under Konbaung rule,MEDIUM,https://www.cambridge.org/core/journals/comparative-studies-in-society-and-history/article/ethnic-hatred-and-universal-benevolence-ethnicity-and-loyalty-in-precolonial-myanmar-and-britain/0F96BB022327E8D95C5A280E320FC503,,PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv
BUR,STATE_PEGU,Pegu,0,1,1,EXPORT_REGIONAL,Pegu/lower Burma had long-distance commercial connections,MEDIUM,https://www.cambridge.org/core/books/abs/myanmars-external-trade/historical-perspective-of-myanmars-external-trade/B7C9E12116CC024846ECCC4E5DA85EC7,,PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv
COC,STATE_TRAVANCORE,Malabar,0,2,2,TRADE,Cochin functioned as a pepper-export and redistribution centre.,HIGH,https://www.cambridge.org/core/books/abs/kerala-1956-to-the-present/before-independence/EE38A3443D329F4631CB21A67DE37178,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/supremacy-of-the-english-east-india-company-17401800/C8B95DB31DCE70D3E31FDD48C7B26862,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
DEI,STATE_CEYLON,Ceylon,0,2,2,TRADE,Ceylon sat on major East-West sea routes and the VOC organized export of cinnamon and other goods.,HIGH,https://journals.sagepub.com/doi/10.1177/001946468502200102,https://soas-repository.worktribe.com/output/387948/dutch-rule-in-maritime-ceylon-1766-1796,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
DUR,STATE_PUNJAB,Punjab,0,1,1,OVERLAND_COMMERCE,"Northern Indian and Afghan trade networks carried textiles, grain, horses and luxury goods through overland merchant routes in the eighteenth century.",MEDIUM,https://www.cambridge.org/core/books/abs/business-history-of-india/baseline-at-1700/FA325FC032D22C3C366D0C690BEF744A,https://www.iranicaonline.org/articles/kabul-ii-historical-geography/,PROVENANCE_FILE=BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv
FRA,STATE_MADRAS,Carnatic,0,2,2,TRADE,"Pondicherry functioned as headquarters, minting/trade centre and long-distance commercial node.",HIGH,https://www.cambridge.org/core/journals/law-and-history-review/article/power-of-parwanas-indopersian-grants-and-the-making-of-empire-in-eighteenthcentury-southern-india/7AFECAEC913586FFC18D50F57A1D2B5B,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
GWA,STATE_MALWA,Malwa,0,1,1,TRADE,Malwa sat astride the principal Surat–Agra/Delhi commercial road.,HIGH,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/great-road-from-surat-to-agra-throughmalwa/4A28C1F2438DF626A3E5E9B82EC9E035,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
GWA,STATE_RAJPUTANA,Rajputana,0,1,1,TRADE,Rajputana routes linked Gujarat with Agra/Delhi and contained important merchant towns.,MEDIUM,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/great-road-from-surat-to-agra-throughmalwa/4A28C1F2438DF626A3E5E9B82EC9E035,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
HYD,STATE_HYDERABAD,Hyderabad,0,1,1,TRADE,Hyderabad city and the Deccan court economy supported long-distance merchant and banking networks.,MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
MARATH,STATE_AGRA,Agra,1,2,1,TRADE,"Agra was a major manufacturing, banking and overland commercial city in the Mughal network.",HIGH,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/great-road-from-surat-to-agra-throughmalwa/4A28C1F2438DF626A3E5E9B82EC9E035,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
MARATH,STATE_BOMBAY,Bombay,0,2,2,TRADE,The Konkan/western Indian coast was tied into Indian Ocean and Gujarat trade networks.,HIGH,https://www.cambridge.org/core/journals/itinerario/article/abs/shipbuilding-in-seventeenthcentury-western-india/C7DBCE74559035CA7B45D5CDE72CBBA3,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
MUG,STATE_DELHI,Delhi,0,2,2,TRADE,"Delhi was a major banking, marketing and overland redistribution centre.",HIGH,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
MYS,STATE_MYSORE,Mysore,0,1,1,TRADE,Mysore had substantial internal markets and west-coast commercial links supporting state procurement.,MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/south-india/BCDB8046E20E009465FE6CB9C25A37C5,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
NAG,STATE_ORISSA,Orissa,0,1,1,TRADE,"Orissa’s coastal markets redistributed rice, salt and cloth.",MEDIUM,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
NET,STATE_TRAVANCORE,Malabar,0,1,1,TRADE,Dutch Malabar establishments remained connected to Indian Ocean pepper commerce.,MEDIUM,https://www.cambridge.org/core/books/abs/european-commercial-enterprise-in-precolonial-india/supremacy-of-the-english-east-india-company-17401800/C8B95DB31DCE70D3E31FDD48C7B26862,https://www.cambridge.org/core/books/abs/kerala-1956-to-the-present/before-independence/EE38A3443D329F4631CB21A67DE37178,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
PAN,STATE_PUNJAB,Punjab,0,2,2,TRADE,Lahore/Amritsar sat on major north-western and transregional merchant routes.,MEDIUM,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
POR,STATE_BOMBAY,Bombay,1,2,1,TRADE,Goa functioned as a long-distance maritime trading and redistribution centre.,HIGH,https://www.cambridge.org/core/journals/itinerario/article/abs/shipbuilding-in-seventeenthcentury-western-india/C7DBCE74559035CA7B45D5CDE72CBBA3,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
POR,STATE_GUJARAT,Gujarat,0,1,1,TRADE,The Portuguese enclaves served maritime trade and customs functions.,MEDIUM,https://www.cambridge.org/core/books/gulf-in-world-history/merchant-communities-and-crosscultural-trade-between-gujarat-and-the-gulf-in-the-late-seventeenth-and-eighteenth-centuries/C38AA854C77223A643D49E2435513E2B,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
PUD,STATE_MADRAS,Carnatic,1,1,0,TRADE,The Carnatic contained dense market towns linked to Coromandel export ports.,MEDIUM,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/trade-and-political-dominion-in-south-india-17501790-changing-britishindian-relationships/65275722334D44F65897688CB3991E88,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
SIN,STATE_SINDH,Sindh,0,2,2,TRADE,Thatta remained Sindh’s premier commercial city with textile and external-trade functions.,MEDIUM,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/competing-for-distinction-lineage-and-individual-recognition-in-eighteenthcentury-sindh/47B3C1B255732F3A780862F62EBC3386,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/files/The_Crafts_And_Textiles_of_Sindh_And_Balochistan-Dr_Adrian_Duarte-1982-Complete.pdf,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_SOUTH_ASIA_RESEARCH.csv
