Owner_TAG,Owner_Name,State_ID,State_Display_Name,Reviewed,Excluded_Serenissima,Map_Rework_Risk,Positive_Recommendation_Count,Recommended_Buildings,Trade_Center_Recommended,Regional_Infrastructure_Recommended,Tech_Distribution_Review_Count,Assessment
TUR,Turkey,STATE_LOWER_EGYPT,Lower Egypt,YES,NO,NONE,12,building_government_administration@1;building_rice_farm@2;building_wheat_farm@2;building_university@1;building_railway@2;building_food_industry@2;building_textile_mill@2;building_giza_necropolis@1;building_sugar_plantation@1;building_port@2;building_shipyard@1;building_trade_center@1,YES,YES,3,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_MATRUH,Matruh,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_MIDDLE_EGYPT,Middle Egypt,YES,NO,NONE,4,building_wheat_farm@2;building_railway@1;building_food_industry@1;building_sugar_plantation@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_PALESTINE,Palestine,YES,NO,NONE,6,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_food_industry@1;building_glassworks@1;building_port@1,NO,YES,3,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_SINAI,Sinai,YES,NO,NONE,2,building_livestock_ranch@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_SYRIA,Syria,YES,NO,NONE,4,building_livestock_ranch@1;building_wheat_farm@1;building_railway@1;building_textile_mill@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_TRABZON,Trabzon,YES,NO,NONE,3,building_railway@1;building_port@1;building_shipyard@1,NO,YES,2,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_TRANSJORDAN,Transjordan,YES,NO,NONE,3,building_livestock_ranch@1;building_railway@1;building_petra@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
TUR,Turkey,STATE_UPPER_EGYPT,Upper Egypt,YES,NO,NONE,4,building_wheat_farm@1;building_railway@1;building_food_industry@1;building_sugar_plantation@1,NO,YES,1,POSITIVE_RECOMMENDATIONS
WAD,Wadai,STATE_CHAD,Chad,YES,NO,NONE,3,building_livestock_ranch@1;building_millet_farm@1;building_railway@1,NO,YES,0,POSITIVE_RECOMMENDATIONS
ZAI,Azal,STATE_YEMEN,Yemen,YES,NO,NONE,4,building_railway@1;building_food_industry@1;building_textile_mill@1;building_coffee_plantation@2,NO,YES,1,POSITIVE_RECOMMENDATIONS
ZWY,Zuwayya,STATE_LIBYA,Cyrenaica,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ZWY,Zuwayya,STATE_LIBYAN_DESERT,Fezzan,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
ZWY,Zuwayya,STATE_TRIPOLI,Tripoli,YES,NO,NONE,1,building_livestock_ranch@1,NO,NO,0,POSITIVE_RECOMMENDATIONS
