Technology_ID,Current_Parents,Proposed_Parents,Current_Era,Proposed_Era,Current_Role,Proposed_Role,Change_Type,Reason,Historical_Compromise,Gameplay_Benefit,Distribution_Impact,Risk
deep_mine_engineering,atmospheric_engine;shaft_mining,applied_mineralogy;atmospheric_engine;shaft_mining,era_4,era_4,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
defense_in_depth,automatic_machine_guns;trench_works,automatic_machine_guns;trench_works,era_11,era_11,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
democracy,rationalism,rationalism,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
destroyer,monitor_tech,monitor_tech,era_11,era_11,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
diagonal_ship_framing,scientific_naval_architecture,scientific_naval_architecture,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
dialectics,empiricism,empiricism,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
distillation,,traditional_food_processing,era_1,era_1,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
dough_rollers,conveyors,conveyors,era_12,era_12,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
dreadnought_tech,pre_dreadnought_tech,pre_dreadnought_tech,era_11,era_11,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
drydocks,navigation,navigation,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
dynamite,nitroglycerin,nitroglycerin,era_8,era_8,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
early_socialism_cooperativism,classical_political_economy;organized_reform_movements,classical_political_economy;organized_reform_movements,era_6,era_6,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
egalitarianism,feminism,feminism,era_9,era_9,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
electric_arc_process,open_hearth_process,open_hearth_process,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
electric_railway,electrical_capacitors;steel_railway_cars,electrical_capacitors;steel_railway_cars,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
electric_telegraph,logistics,logistics,era_7,era_7,Bonus technologique,Bonus technologique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
electrical_capacitors,electrical_generation;mechanized_weaving,electrical_generation;mechanized_weaving,era_9,era_9,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
electrical_generation,rotary_valve_engine,rotary_valve_engine,era_9,era_9,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
elevator,steel_frame_buildings,steel_frame_buildings,era_9,era_9,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
empiricism,academia,academia,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
enclosed_dock_systems,,organized_naval_establishments,era_1,era_1,Déblocage bâtiment,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
enclosure,,,era_4,era_4,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
enlistment_offices,corps_organization;logistics,corps_organization;logistics,era_8,era_8,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
experimental_research_laboratories,institutionalized_scientific_exchange;polytechnical_education;scientific_metrology,institutionalized_scientific_exchange;polytechnical_education;scientific_metrology,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
explosive_field_ammunition,standardized_field_artillery,standardized_field_artillery,era_5,era_5,Nœud structurel,Alias de compatibilité non recherchable après migration,MERGE,"Le nœud n’a aucun enfant, unlock ou modifier; fusion proposée dans standardized_field_artillery.","Le concept reste localisable et référencable, mais cesse d’occuper un nœud vide.",Supprime une feuille sans effet sans inventer un bonus artificiel.,0 grant(s) structurel(s) simulé(s),LOW: scanner les références externes avant implémentation.
feminism,human_rights,human_rights,era_8,era_8,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
field_engineering_pontoon_trains,logistics;permanent_engineer_services,logistics;permanent_engineer_services,era_5,era_5,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
field_works,general_staff,general_staff,era_7,era_7,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
film,camera,camera,era_10,era_10,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
flamethrowers,trench_works,trench_works,era_12,era_12,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
flash_freezing,pasteurization,pasteurization,era_12,era_12,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
floating_harbor,gantry_cranes,gantry_cranes,era_9,era_9,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
fractional_distillation,distillation;industrial_acids;mechanical_tools,distillation;industrial_acids;mechanical_tools,era_6,era_6,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
gantry_cranes,maritime_safety_standards;mechanized_naval_dockyards,maritime_safety_standards;mechanized_naval_dockyards,era_8,era_8,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
general_staff,corps_organization;logistics;military_topographic_surveying;percussion_cap,corps_organization;logistics;military_topographic_surveying;percussion_cap,era_6,era_6,Déblocage PM/contenu militaire/diplomatique,Déblocage PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
geological_surveying,applied_mineralogy;professional_civil_engineering,applied_mineralogy;professional_civil_engineering,era_6,era_6,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
gunsmithing,standing_army,standing_army,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
handcranked_machine_gun,repeaters,repeaters,era_9,era_9,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
high_pressure_steam,atmospheric_engine;mechanical_tools;rotative_steam_power,atmospheric_engine;mechanical_tools;rotative_steam_power,era_5,era_5,Déblocage PM/contenu militaire/diplomatique,Déblocage PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
horse_artillery,standardized_field_artillery,standardized_field_artillery,era_4,era_4,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
hot_blast_smelting,puddling_and_rolling;rotative_steam_power,puddling_and_rolling;rotative_steam_power,era_6,era_6,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
human_rights,constitutional_government;periodical_print_networks,constitutional_government;periodical_print_networks,era_4,era_4,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
hydraulic_cements,industrial_ceramics;professional_civil_engineering,industrial_ceramics;professional_civil_engineering,era_6,era_6,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
hydraulic_cranes,drydocks,drydocks,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
hydraulic_turbines,mechanical_tools;professional_civil_engineering,mechanical_tools;professional_civil_engineering,era_6,era_6,Aucun rôle gameplay direct,Alias de compatibilité non recherchable après migration,MERGE,"Le nœud n’a aucun enfant, unlock ou modifier; fusion proposée dans professional_civil_engineering.","Le concept reste localisable et référencable, mais cesse d’occuper un nœud vide.",Supprime une feuille sans effet sans inventer un bonus artificiel.,0 grant(s) structurel(s) simulé(s),LOW: scanner les références externes avant implémentation.
hydrographic_surveying,marine_chronometry;military_topographic_surveying,marine_chronometry;military_topographic_surveying,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
identification_documents,central_statistical_offices;professional_civil_policing,central_statistical_offices;professional_civil_policing,era_8,era_8,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
improved_agricultural_implements,improved_husbandry,improved_husbandry,era_2,era_2,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
improved_fertilizer,advanced_crop_rotations;industrial_acids,advanced_crop_rotations;industrial_acids,era_8,era_8,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
improved_husbandry,,,era_1,era_1,Déblocage bâtiment/contenu militaire/diplomatique,Déblocage bâtiment/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
improved_road_engineering,turnpike_road_networks,turnpike_road_networks,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
industrial_acids,,,era_2,era_2,Déblocage bâtiment,Spécialisation rattachée à un tronc identifiable,REMOVE_EDGE,Le parent organized_workshops accordait furniture et tooling sans lien suffisant avec cette branche.,La spécialité reste une racine utile plutôt qu'un grant manufacturier artificiel.,Élimine 14 grants collatéraux sans casser la causalité furniture/tooling.,0 grant(s) structurel(s) simulé(s),LOW
industrial_alkalis,industrial_acids,industrial_acids,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
industrial_canals,,turnpike_road_networks,era_3,era_3,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
industrial_ceramics,,traditional_glassmaking,era_3,era_3,Déblocage PM,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
industrial_paper_bleaching,chemical_bleaching;continuous_papermaking,chemical_bleaching;continuous_papermaking,era_6,era_6,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
institutionalized_public_credit,,organized_financial_institutions,era_1,era_1,Déblocage contenu militaire/diplomatique,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
institutionalized_scientific_exchange,,,era_1,era_1,Déblocage loi/contenu militaire/diplomatique,Déblocage loi/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
intensive_agriculture,enclosure,enclosure,era_5,era_5,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
interchangeable_manufacture,mechanical_tools,mechanical_tools,era_6,era_6,Déblocage PM/contenu militaire/diplomatique,Déblocage PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
international_exchange_standards,institutionalized_public_credit;international_relations,institutionalized_public_credit;international_relations,era_10,era_10,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
international_relations,,,era_1,era_1,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
international_trade,tech_bureaucracy,tech_bureaucracy,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
investment_banks,mutual_funds;stock_exchange,mutual_funds;stock_exchange,era_9,era_9,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
iron_hull_construction,diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer;scientific_naval_architecture,diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer,era_6,era_6,Nœud structurel,Spécialisation rattachée à un tronc identifiable,REMOVE_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
ironclad_tech,iron_hull_construction,iron_hull_construction,era_7,era_7,Déblocage bâtiment/PM/contenu militaire/diplomatique,Déblocage bâtiment/PM/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
jeune_ecole,self_propelled_torpedoes,self_propelled_torpedoes,era_9,era_9,Déblocage PM/loi,Déblocage PM/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
joint_stock_companies,commercial_insurance_markets;postal_savings,commercial_insurance_markets;postal_savings,era_6,era_6,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
labor_movement,liberal_constitutionalism;organized_reform_movements,liberal_constitutionalism;organized_reform_movements,era_6,era_6,Déblocage loi/contenu militaire/diplomatique,Déblocage loi/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
landing_craft,field_engineering_pontoon_trains;floating_harbor,field_engineering_pontoon_trains;floating_harbor,era_11,era_11,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
lathe,cotton_gin,cotton_gin,era_5,era_5,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
law_enforcement,professional_civil_policing;tech_bureaucracy;urban_planning,professional_civil_policing;tech_bureaucracy;urban_planning,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
liberal_constitutionalism,classical_political_economy;constitutional_government;human_rights,classical_political_economy;constitutional_government;human_rights,era_5,era_5,Déblocage loi/contenu militaire/diplomatique,Déblocage loi/contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
light_infantry_tactics,,organized_military_establishments,era_3,era_3,Déblocage contenu militaire/diplomatique,Spécialisation rattachée à un tronc identifiable,ADD_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
line_infantry,mandatory_service;military_drill,mandatory_service;military_drill,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
logistics,corps_organization,corps_organization,era_5,era_5,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
macroeconomics,central_statistical_offices;classical_political_economy,central_statistical_offices;classical_political_economy,era_12,era_12,Bonus technologique,Bonus technologique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
malaria_prevention,civilizing_mission;organized_immunization_campaigns;quinine,civilizing_mission;organized_immunization_campaigns;quinine,era_10,era_10,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mandatory_service,standing_army,standing_army,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
manufacturies,,,era_4,era_4,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
marine_chronometry,scientific_naval_architecture,ship_classification_surveying,era_3,era_3,Déblocage bâtiment,Spécialisation rattachée à un tronc identifiable,REPLACE_EDGE,Rattachement à un socle général ou à la chaîne productive du bâtiment.,"L’arête représente une capacité générale de gameplay, pas une causalité littérale.",Réduit les roots spécialisés et améliore la lecture de la branche.,0 grant(s) structurel(s) simulé(s),MEDIUM: vérifier les grants structurels calculés.
maritime_safety_standards,hydrographic_surveying;ship_classification_surveying,hydrographic_surveying;ship_classification_surveying,era_6,era_6,Nœud structurel,Nœud structurel,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mass_circulation_press,mechanized_printing;organized_elementary_schooling,mechanized_printing;organized_elementary_schooling,era_6,era_6,Déblocage PM/loi,Déblocage PM/loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mass_communication,democracy,democracy,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mass_propaganda,film;organized_sports;political_agitation,film;organized_sports;political_agitation,era_11,era_11,Déblocage contenu militaire/diplomatique,Déblocage contenu militaire/diplomatique,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mass_surveillance,central_planning,central_planning,era_12,era_12,Déblocage loi,Déblocage loi,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanical_tools,precision_boring;puddling_and_rolling,precision_boring;puddling_and_rolling,era_5,era_5,Déblocage bâtiment/PM,Déblocage bâtiment/PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_farming,selective_breeding;threshing_machine,selective_breeding;threshing_machine,era_7,era_7,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_irrigation,rotative_steam_power;systematic_field_drainage,rotative_steam_power;systematic_field_drainage,era_6,era_6,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_naval_dockyards,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_printing,periodical_print_networks,periodical_print_networks,era_5,era_5,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_spinning,organized_textile_production,organized_textile_production,era_3,era_3,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_weaving,mechanized_spinning,mechanized_spinning,era_3,era_3,Déblocage PM,Déblocage PM,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
mechanized_workshops,canneries;manufacturies;mechanical_tools,canneries;manufacturies;mechanical_tools,era_7,era_7,Alias de compatibilité non recherchable,Alias de compatibilité non recherchable,KEEP,Aucun changement architectural prioritaire proposé dans cette passe.,Aucun,Préserve une branche déjà cohérente.,0 grant(s) structurel(s) simulé(s),LOW
