"Technology_ID","Era","Category","Current_EN_Name","Current_FR_Name","Current_EN_Description","Current_FR_Description","Issue_Type","Needs_Name_Change","Needs_Description_Change","Notes"
"military_veterinary_services","era_5","military","Veterinary Services","Services vétérinaires","The adoption of Military Veterinary Services advances the equipment, organization, or professional practice of early modern armies.","L’adoption de Services vétérinaires militaires fait progresser l’équipement, l’organisation ou les pratiques professionnelles des armées modernes.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/20_tech3a_military.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=horse_artillery veterinary_science; unlocks=none"
"casemated_fortifications","era_5","military","Casemated Fortifications","Forts casematés","The adoption of Casemated Fortifications advances the equipment, organization, or professional practice of early modern armies.","L’adoption de Fortifications casematées fait progresser l’équipement, l’organisation ou les pratiques professionnelles des armées modernes.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/20_tech3a_military.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=scientific_fortification_siegecraft; unlocks=production_methods:pm_naval_fortification_reinforced"
"standardized_military_rockets","era_5","military","Military Rockets","Fusées militaires","The adoption of Standardized Military Rocket Systems advances the equipment, organization, or professional practice of early modern armies.","L’adoption de Systèmes de fusées militaires standardisés fait progresser l’équipement, l’organisation ou les pratiques professionnelles des armées modernes.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/20_tech3a_military.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=none"
"percussion_cap","era_5","military","Percussion Cap","Amorce à percussion","The percussion cap is a single use device which allows firearms to operate reliably in all types of weather.","L’amorce à percussion est un dispositif à usage unique qui permet aux armes à feu de fonctionner de façon fiable par tous les temps.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/20_tech3a_military.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=armament_standardization_inspection rifling; unlocks=buildings:building_munition_plant|production_methods:pm_percussion_caps"
"general_staff","era_6","military","General Staff","État-major","Having a set of officers to act as a conduit between the high command and the troops themselves, allows for greater communication and effectiveness.","Ensemble d’officiers servant d’intermédiaire entre le haut commandement et les troupes, assurant ainsi une meilleure communication et une plus grande efficacité.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/20_tech3a_military.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=corps_organization military_topographic_surveying logistics percussion_cap; unlocks=production_methods:pm_general_training|production_methods:pm_general_training_conscription"
"state_dockyard_systems","era_1","military","State Dockyard Systems","Arsenaux d’État","The development of State Dockyard Systems advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Systèmes d’arsenaux d’État améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=buildings:building_naval_administration"
"enclosed_dock_systems","era_1","military","Enclosed Dock Systems","Bassins fermés","The development of Enclosed Dock Systems advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Systèmes de bassins fermés améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=state_dockyard_systems; unlocks=none"
"scientific_naval_architecture","era_2","military","Naval Architecture","Architecture navale","The development of Scientific Naval Architecture advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Architecture navale scientifique améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=state_dockyard_systems; unlocks=none"
"marine_chronometry","era_3","military","Marine Chronometry","Chronométrie marine","The development of Marine Chronometry advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Chronométrie marine améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=ship_classification_surveying; unlocks=none"
"ship_classification_surveying","era_3","military","Ship Class & Survey","Classement et inspection","The development of Ship Classification & Surveying advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Classification et inspection des navires améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=state_dockyard_systems; unlocks=none"
"copper_sheathing","era_4","military","Copper Sheathing","Doublage en cuivre","The development of Copper Sheathing advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Doublage en cuivre améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=scientific_naval_architecture; unlocks=production_methods:pm_copper_sheathing_building_shipyard"
"hydrographic_surveying","era_5","military","Hydrographic Surveying","Levé hydrographique","The development of Hydrographic Surveying advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Levé hydrographique améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=marine_chronometry military_topographic_surveying; unlocks=none"
"standardized_naval_signals","era_5","military","Naval Signals","Signaux navals","The development of Standardized Naval Signals advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Signaux navals standardisés améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=ship_classification_surveying; unlocks=production_methods:pm_power_of_the_purse|laws:law_professional_navy|laws:law_diplomatic_navy"
"paddle_steamer","era_5","military","Paddle Steamer","Bateau à roues à aubes","The paddle steamer is a steam powered watercraft, where the steam is used to turn paddles that pushes the ship through the water.","Un bateau à roues à aubes est une embarcation à vapeur, où la vapeur sert à faire tourner les roues à aubes qui permettent au bateau d’avancer.","BAD_TRANSLATION","YES","NO","MOD_MODIFIED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=scientific_naval_architecture; unlocks=production_methods:pm_complex_shipbuilding|production_methods:pm_military_shipbuilding_wooden_2"
"mechanized_naval_dockyards","era_5","military","Mechanized Dockyards","Arsenaux mécanisés","The development of Mechanized Naval Dockyards advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Arsenaux navals mécanisés améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=scientific_naval_architecture state_dockyard_systems enclosed_dock_systems; unlocks=production_methods:pm_trade_center_trade_quantity_high"
"diagonal_ship_framing","era_5","military","Diagonal Ship Framing","Charpente diagonale","The development of Diagonal Ship Framing advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Charpente navale diagonale améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=scientific_naval_architecture; unlocks=none"
"shell_gun","era_6","military","Shell Gun","Canon à obus","The Shell Gun is a remarkable piece of artillery due to the nature of its ammunition. The projectiles themselves are explosive leading to more damage than a simple chunk of metal would.","En raison de la nature de ses munitions, le canon à obus est une remarquable pièce d’artillerie. Les projectiles eux-mêmes sont explosifs, ce qui entraîne plus de dégâts qu’un simple morceau de métal.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=standardized_field_artillery scientific_naval_architecture; unlocks=production_methods:pm_smoothbores"
"maritime_safety_standards","era_6","military","Maritime Safety","Sécurité maritime","The development of Maritime Safety Standards advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Normes de sécurité maritime améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=ship_classification_surveying hydrographic_surveying; unlocks=none"
"modern_lighthouse_optics","era_6","military","Modern Lighthouse Optics","Optique des phares","The development of Modern Lighthouse Optics advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Optique moderne des phares améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=hydrographic_surveying; unlocks=none"
"iron_hull_construction","era_6","military","Iron Hull Construction","Coques en fer","The development of Iron Hull Construction advances the construction, navigation, support, or operation of sailing and early steam fleets.","Le développement de Construction de coques en fer améliore la construction, la navigation, le soutien ou l’emploi des flottes à voile et à vapeur.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/25_tech3a_naval.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=mechanized_naval_dockyards diagonal_ship_framing paddle_steamer; unlocks=none"
"institutionalized_scientific_exchange","era_1","society","Scientific Exchange","Échanges scientifiques","The institutional development of Institutionalized Scientific Exchange expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Échanges scientifiques institutionnalisés étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=buildings:building_university|laws:law_freedom_of_conscience"
"international_relations","era_1","society","International Relations","Relations extérieures","Formalizing diplomacy provides a firm framework for both improved cordiality and hostility with other nations.","La formalisation de la diplomatie fournit un cadre solide pour renforcer la cordialité et l’hostilité avec les autres nations.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=none; unlocks=laws:law_mercantilism"
"institutionalized_public_credit","era_2","society","Public Credit","Crédit public","The institutional development of Institutionalized Public Credit expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Crédit public institutionnalisé étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_financial_institutions; unlocks=none"
"stock_exchange","era_2","society","Stock Exchange","Bourse","An organized market where stocks and bonds can be bought and sold, the stock exchange is a central element of the modern market economy.","Marché organisé où les actions et les obligations peuvent être achetées et vendues, la bourse est un élément central de l’économie de marché moderne.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=organized_financial_institutions; unlocks=none"
"commercial_insurance_markets","era_2","society","Commercial Insurance","Assurance commerciale","The institutional development of Commercial Insurance Markets expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Marchés de l’assurance commerciale étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_financial_institutions; unlocks=laws:law_mercantilism_navigation_acts|laws:law_mercantilism"
"periodical_print_networks","era_1","society","Periodical Press","Presse périodique","The institutional development of Periodical Print Networks expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Réseaux de presse périodique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=laws:law_religious_schools|laws:law_censorship"
"systematic_administrative_statistics","era_2","society","State Statistics","Statistiques d’État","The institutional development of Systematic Administrative Statistics expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Statistiques administratives systématiques étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=none"
"variolation_networks","era_2","society","Variolation Networks","Réseaux de variolisation","The institutional development of Variolation Networks expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Réseaux de variolisation étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=institutionalized_scientific_exchange; unlocks=none"
"codified_practical_knowledge","era_2","society","Codified Knowledge","Savoirs codifiés","The institutional development of Codified & Encyclopedic Practical Knowledge expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Savoirs pratiques codifiés et encyclopédiques étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=none"
"political_economy","era_3","society","Political Economy","Économie politique","The institutional development of Political Economy expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Économie politique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks systematic_administrative_statistics; unlocks=laws:law_protectionism"
"specialized_technical_academies","era_3","society","Technical Academies","Académies techniques","The institutional development of Specialized Technical Academies expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Académies techniques spécialisées étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=institutionalized_scientific_exchange; unlocks=none"
"veterinary_science","era_3","society","Veterinary Science","Science vétérinaire","The institutional development of Veterinary Science expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Science vétérinaire étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=institutionalized_scientific_exchange; unlocks=none"
"organized_elementary_schooling","era_3","society","Elementary Schooling","Enseignement primaire","Organized religious, communal, or state schools extend regular elementary instruction beyond isolated tutors and local custom.","Des écoles religieuses, communautaires ou publiques organisées étendent l'instruction élémentaire régulière au-delà des précepteurs isolés et des usages locaux.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks; unlocks=laws:law_private_schools"
"systematic_population_registration","era_3","society","Population Registers","Registres de population","Regular population registers give administrations a durable basis for taxation, recruitment, and public planning.","Des registres réguliers de la population donnent à l'administration une base durable pour la fiscalité, le recrutement et la planification publique.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=systematic_administrative_statistics; unlocks=production_methods:pm_horizontal_drawer_cabinets|laws:law_per_capita_based_taxation"
"medical_degrees","era_3","society","Medical Degrees","Diplômes en médecine","Recognized medical faculties, colleges, examinations, licences, and titles provide an institutional standard for training and certifying practitioners.","Des facultés, collèges, examens, licences et titres médicaux reconnus établissent une norme institutionnelle pour former et certifier les praticiens.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=institutionalized_scientific_exchange; unlocks=laws:law_charitable_health_system"
"classical_political_economy","era_4","society","Classical Economics","Économie classique","Developed classical doctrines systematize production, exchange, trade, and the limits of state intervention in the economy.","Les doctrines classiques développées systématisent la production, les échanges, le commerce et les limites de l'intervention de l'État dans l'économie.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=political_economy systematic_population_registration; unlocks=laws:law_interventionism|laws:law_free_trade"
"constitutional_government","era_4","society","Constitutional Rule","Régime constitutionnel","The institutional development of Constitutional Government expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Gouvernement constitutionnel étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks; unlocks=laws:law_racial_segregation|laws:law_landed_voting|laws:law_wealth_voting|laws:law_census_voting|laws:law_presidential_republic|laws:law_parliamentary_republic|laws:law_debt_slavery|laws:law_poor_laws"
"human_rights","era_4","society","Human Rights","Droits de l’Homme","Embracing the idea of universal, inalienable rights for all people invites new concepts into the nation's social and political venues.","L’adoption de l’idée de droits universels et inaliénables pour tous invite de nouveaux concepts sur la scène sociale et politique du pays.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=constitutional_government periodical_print_networks; unlocks=laws:law_cultural_exclusion|laws:law_restricted_child_labor|laws:law_protected_speech|laws:law_regulatory_bodies|laws:law_colonial_slavery|laws:law_wage_subsidies"
"national_sovereignty","era_4","society","Popular Sovereignty","Souveraineté populaire","The institutional development of National & Popular Sovereignty expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Souveraineté nationale et populaire étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=constitutional_government periodical_print_networks; unlocks=none"
"organized_reform_movements","era_5","society","Reform Movements","Mouvements réformistes","The institutional development of Organized Reform Movements expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Mouvements réformateurs organisés étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks human_rights; unlocks=laws:law_legacy_slavery"
"abolitionist_mobilization","era_5","society","Abolitionism","Abolitionnisme","The institutional development of Abolitionist Mobilization expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Mobilisation abolitionniste étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_reform_movements; unlocks=laws:law_slavery_banned"
"systematic_cadastral_surveying","era_4","society","Cadastral Surveying","Levé cadastral","Systematic land surveys and cadastral records allow administrations to identify property, assess taxes, and plan territorial development.","Les levés fonciers et registres cadastraux systématiques permettent d'identifier les propriétés, d'évaluer l'impôt et de planifier le territoire.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=systematic_administrative_statistics; unlocks=none"
"systematic_legal_codification","era_4","society","Legal Codification","Codification juridique","A recognized and systematically organized body of law makes rules more consistent across courts, officials, and territories.","Un corpus juridique reconnu et organisé systématiquement rend les règles plus cohérentes entre tribunaux, administrations et territoires.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=systematic_administrative_statistics; unlocks=none"
"scientific_metrology","era_4","society","Scientific Metrology","Métrologie scientifique","The institutional development of Scientific Metrology expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Métrologie scientifique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=systematic_administrative_statistics institutionalized_scientific_exchange; unlocks=none"
"vaccination","era_4","society","Vaccination","Vaccination","The institutional development of Vaccination expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Vaccination étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=variolation_networks medical_degrees; unlocks=none"
"polytechnical_education","era_4","society","Polytechnical Education","Éducation polytechnique","The institutional development of Polytechnical Education expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Enseignement polytechnique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=specialized_technical_academies; unlocks=production_methods:pm_philosophy_department"
"optical_telegraph_networks","era_4","society","Optical Telegraph","Télégraphe optique","The institutional development of Optical Telegraph Networks expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Réseaux de télégraphie optique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks; unlocks=none"
"colonization","era_4","society","Colonization","Colonisation","As a population grows, it becomes possible to go elsewhere and find new mainly unclaimed land for the taking.  ","Lorsque la population augmente, la solution est de trouver de nouvelles terres pour s’en emparer.  ","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/inventions_l_english.yml; fr=localization/french/inventions_l_french.yml; prerequisites=international_relations; unlocks=laws:law_extraction_economy"
"central_statistical_offices","era_5","society","Statistical Offices","Bureaux statistiques","The institutional development of Central Statistical Offices expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Bureaux centraux de statistique étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=systematic_administrative_statistics systematic_population_registration; unlocks=production_methods:pm_vertical_filing_cabinets|production_methods:pm_tabulating_offices|laws:law_technocracy"
"organized_immunization_campaigns","era_6","society","Immunization Campaigns","Campagnes vaccinales","The institutional development of Organized Immunization Campaigns expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Campagnes organisées d’immunisation étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=vaccination active_principle_pharmacy; unlocks=laws:law_public_health_insurance"
"mechanized_printing","era_5","society","Mechanized Printing","Imprimerie mécanisée","The institutional development of Mechanized Printing expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Imprimerie mécanisée étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=periodical_print_networks; unlocks=production_methods:pm_mechanized_typesetting"
"experimental_research_laboratories","era_5","society","Research Laboratories","Recherche expérimentale","The institutional development of Experimental Research Laboratories expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Laboratoires de recherche expérimentale étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=polytechnical_education institutionalized_scientific_exchange scientific_metrology; unlocks=none"
"specialized_professional_societies","era_5","society","Professional Societies","Sociétés savantes","The institutional development of Specialized Professional Societies expands scientific, administrative, educational, medical, or political capacity.","L’institutionnalisation de Sociétés professionnelles spécialisées étend les capacités scientifiques, administratives, éducatives, médicales ou politiques.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/30_tech3a_society.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=experimental_research_laboratories; unlocks=production_methods:pm_professional_faculties"
