TAG,Country,Technology_ID,Current_Status,Historical_Target,Action,Confidence,Tree_Blocker,Classification_Blocker,Reason,Source_1,Source_2
AWA,Awadh,traditional_papermaking,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://handmadeinrajasthan.rajasthan.gov.in/content/industries/handmadeinrajasthandepartment/artandcraft/papercraft0/handmadepaperprocess.html,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
AWA,Awadh,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/journals/modern-asian-studies/article/it-all-comes-from-me-bahu-begam-and-the-making-of-the-awadh-nawabi-circa-17651815/D7AEE97EA7821335A01B32B82AAB3FB0,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
AWA,Awadh,variolation_networks,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4078488/,https://pmc.ncbi.nlm.nih.gov/articles/PMC546339/
AWS,Aussa,distillation,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,improved_agricultural_implements,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,,improved_agricultural_implements,REVIEW arbitré PRESENT : capacité institutionnelle ou productive établie avant le 1er janvier 1776.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,shaft_mining,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,systematic_administrative_statistics,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,traditional_furniture_making,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AWS,Aussa,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://82nd-and-fifth.metmuseum.org/toah/ht/09/afa.html,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/east-africa-the-expansion-of-commerce/8AE31B68FFE6ED0C29991E89FAB01006
AYI,Anyi,improved_agricultural_implements,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,,improved_agricultural_implements,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/decline-or-survival-iron-production-in-west-africa-from-the-seventeenth-to-the-twentieth-centuries/DB53AF615BFC1FB0B7F677C61059517A,https://www.cambridge.org/core/journals/history-in-africa/article/abs/what-africans-got-for-their-slaves-a-master-list-of-european-trade-goods1/DAD83A839DB71F6AF2E44A9A9E455543
AYI,Anyi,organized_textile_production,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/decline-or-survival-iron-production-in-west-africa-from-the-seventeenth-to-the-twentieth-centuries/DB53AF615BFC1FB0B7F677C61059517A,https://www.cambridge.org/core/journals/history-in-africa/article/abs/what-africans-got-for-their-slaves-a-master-list-of-european-trade-goods1/DAD83A839DB71F6AF2E44A9A9E455543
AYI,Anyi,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/decline-or-survival-iron-production-in-west-africa-from-the-seventeenth-to-the-twentieth-centuries/DB53AF615BFC1FB0B7F677C61059517A,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/import-of-firearms-into-west-africa-in-the-eighteenth-century/84E8BF080DACF066CC957D56271DC721
AYI,Anyi,traditional_furniture_making,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/decline-or-survival-iron-production-in-west-africa-from-the-seventeenth-to-the-twentieth-centuries/DB53AF615BFC1FB0B7F677C61059517A,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/import-of-firearms-into-west-africa-in-the-eighteenth-century/84E8BF080DACF066CC957D56271DC721
BAD,Baden,shaft_mining,PRESENT,ABSENT,REMOVE,LOW,,,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,https://tu-freiberg.de/en/lfbw,https://whc.unesco.org/en/list/618
BAD,Baden,systematic_administrative_statistics,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://geschichte.univie.ac.at/en/node/23380,https://www.treccani.it/enciclopedia/le-riforme_%28Storia-di-Venezia%29/
BAD,Baden,traditional_food_processing,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
BAD,Baden,traditional_furniture_making,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
BAD,Baden,traditional_glassmaking,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://museovetro.visitmuve.it/en/il-museo/layout-and-collections/glass-14th-17th-century/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAD,Baden,traditional_papermaking,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://whc.unesco.org/en/tentativelists/6757/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAD,Baden,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,
BAG,Rewah,distillation,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/books/cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BAG,Rewah,organized_textile_production,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/trading-world-of-asia-and-the-english-east-india-company/company-and-the-indian-textile-industry/E9EB1D6724C3227D2343EAD0B0B34BAC,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BAG,Rewah,sugar_refining,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,sugar_refining,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,https://www.sugar.org/sugar/history/,https://www.nature.com/articles/148465c0
BAG,Rewah,systematic_administrative_statistics,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
BAG,Rewah,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/books/cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BAG,Rewah,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
BAL,Bali,codified_practical_knowledge,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,"institutionalized_scientific_exchange,periodical_print_networks",,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAL,Bali,distillation,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAL,Bali,shaft_mining,PRESENT,ABSENT,REMOVE,MEDIUM,,,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAL,Bali,sugar_refining,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,sugar_refining,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAL,Bali,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAL,Bali,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/civilization-on-loan-the-making-of-an-upstart-polity-mataram-and-its-successors-16001830/85009FD66852BA85AC132F193587B886,https://www.jstor.org/stable/jj.33506918.18
BAS,Bastar,organized_textile_production,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/trading-world-of-asia-and-the-english-east-india-company/company-and-the-indian-textile-industry/E9EB1D6724C3227D2343EAD0B0B34BAC,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BAS,Bastar,shaft_mining,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
BAS,Bastar,sugar_refining,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,sugar_refining,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,https://www.sugar.org/sugar/history/,https://www.nature.com/articles/148465c0
BAS,Bastar,systematic_administrative_statistics,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
BAS,Bastar,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/books/cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BAS,Bastar,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5,https://www.cambridge.org/core/books/abs/indian-princes-and-their-states/princely-states-prior-to-1800/8205D5368645057EA899F9AEAF323BF5
BAV,Bavaria,codified_practical_knowledge,ABSENT,PRESENT,ADD,MEDIUM,,,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://tu-freiberg.de/en/university/history,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAV,Bavaria,industrial_ceramics,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,industrial_ceramics,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.nymphenburg.com/en/pages/haus-wittelsbach,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAV,Bavaria,institutionalized_scientific_exchange,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://geschichte.univie.ac.at/en/node/23380,https://tu-freiberg.de/en/university/history
BAV,Bavaria,light_infantry_tactics,ABSENT,PRESENT,ADD,MEDIUM,,,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9,https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce
BAV,Bavaria,medical_degrees,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,,medical_degrees,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.unipd.it/en/sala-laurea-medicina,https://atom.unito.it/index.php/esami-per-il-conferimento-dei-gradi-medicina
BAV,Bavaria,organized_forestry,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.bmel.de/DE/themen/wald/wald-in-deutschland/carlowitz-jahr.html,https://www.deutsche-digitale-bibliothek.de/item/OUO5DWBMRCV24F3DMAPF4PXYMCWFXO5O
BAV,Bavaria,periodical_print_networks,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
BAV,Bavaria,permanent_engineer_services,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.museotorino.it/view/s/66901479df374aaf80fd472c76944ff2,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
BAV,Bavaria,regulated_small_arms,ABSENT,PRESENT,ADD,MEDIUM,,,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9,https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce
BAV,Bavaria,scientific_fortification_siegecraft,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
BAV,Bavaria,standardized_field_artillery,ABSENT,PRESENT,ADD,MEDIUM,,,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://www.museotorino.it/view/s/276a506f80994a3a943a5600e4b944ce,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
BAV,Bavaria,systematic_legal_codification,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,systematic_legal_codification,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.senat.fr/colloques/actes_bicentenaire_code_penal/actes_bicentenaire_code_penal_mono.html,https://referenceworks.brill.com/display/entries/EMCO/COM-020134.xml
BAV,Bavaria,traditional_food_processing,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
BAV,Bavaria,traditional_furniture_making,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,https://www.treccani.it/enciclopedia/italia_(Dizionario-di-Storia)/
BAV,Bavaria,traditional_glassmaking,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://museovetro.visitmuve.it/en/il-museo/layout-and-collections/glass-14th-17th-century/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAV,Bavaria,traditional_papermaking,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://whc.unesco.org/en/tentativelists/6757/,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49
BAV,Bavaria,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.cambridge.org/core/journals/journal-of-economic-history/article/economic-growth-in-germany-15001850/3FB21F575B6056CE6BCFF04C97FC1E49,
BCE,Ceylon,codified_practical_knowledge,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,periodical_print_networks,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://whc.unesco.org/en/list/451,https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/
BCE,Ceylon,colonization,ABSENT,PRESENT,ADD,HIGH,,,"Technologie E à contenu gameplay significatif, ADD régional conservé.",https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/,https://whc.unesco.org/en/list/451
BCE,Ceylon,organized_forestry,PRESENT,ABSENT,REMOVE,HIGH,,,REMOVE régional historiquement justifié.,https://whc.unesco.org/en/list/451,https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/
BCE,Ceylon,organized_textile_production,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://www.cambridge.org/core/books/abs/trading-world-of-asia-and-the-english-east-india-company/company-and-the-indian-textile-industry/E9EB1D6724C3227D2343EAD0B0B34BAC,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BCE,Ceylon,permanent_engineer_services,ABSENT,PRESENT,ADD,MEDIUM,,,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/,https://whc.unesco.org/en/list/451
BCE,Ceylon,permanent_military_hospitals,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://whc.unesco.org/en/list/451,https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/
BCE,Ceylon,scientific_naval_architecture,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/,https://whc.unesco.org/en/list/451
BCE,Ceylon,sugar_refining,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,sugar_refining,REVIEW arbitré PRESENT pour la capacité traditionnelle; les PM modernes attachés au nœud restent un bloqueur de classification.,https://www.sugar.org/sugar/history/,https://www.nature.com/articles/148465c0
BCE,Ceylon,systematic_administrative_statistics,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://whc.unesco.org/en/list/451,https://pure.knaw.nl/portal/en/publications/the-company-fortress-military-engineering-and-the-dutch-east-indi/
BCE,Ceylon,traditional_furniture_making,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,organized_textile_production,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/books/cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BCE,Ceylon,traditional_papermaking,PRESENT,ABSENT,REMOVE,MEDIUM,,,REMOVE régional historiquement justifié.,https://handmadeinrajasthan.rajasthan.gov.in/content/industries/handmadeinrajasthandepartment/artandcraft/papercraft0/handmadepaperprocess.html,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mideighteenthcentury-background/364CC8EA015BAFBE8B0A2EEDAA0FD3C5
BEL,Belgium,atmospheric_engine,ABSENT,PRESENT,PENDING_TREE_FIX,HIGH,coke_smelting,,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://connaitrelawallonie.wallonie.be/histoire/timeline/18-janvier-1721-installation-de-la-toute-premiere-pompe-feu-du-continent-jemeppe,https://www.industriemuseum.be/nl/collectie-item/geschiedenis-van-hoogovens
BEL,Belgium,commercial_insurance_markets,PRESENT,ABSENT,REMOVE,MEDIUM,,,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,https://books.google.com/books/about/Marine_Insurance_in_the_Netherlands_1600.html?id=KPihRWh7BlUC,https://academieroyale.be/fr/l-academie-royale-histoire/
BEL,Belgium,enclosed_dock_systems,PRESENT,ABSENT,REMOVE,LOW,,,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,https://academieroyale.be/fr/l-academie-royale-histoire/,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/les-campagnes-flamandes-du-xiiie-siecle-au-xviiie-siecle-ou-les-succes-dune-agriculture-traditionnelle/15A2A299629F9C8BC5877BDFAB733E5C
BEL,Belgium,improved_agricultural_implements,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,,improved_agricultural_implements,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://academieroyale.be/fr/l-academie-royale-histoire/,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/les-campagnes-flamandes-du-xiiie-siecle-au-xviiie-siecle-ou-les-succes-dune-agriculture-traditionnelle/15A2A299629F9C8BC5877BDFAB733E5C
BEL,Belgium,industrial_acids,ABSENT,PRESENT,PENDING_CLASSIFICATION,HIGH,,industrial_acids,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.persee.fr/doc/pharm_0035-2349_1973_num_61_217_8414_t1_0458_0000_1,https://academieroyale.be/fr/l-academie-royale-histoire/
BEL,Belgium,industrial_canals,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,turnpike_road_networks,industrial_canals,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",https://academieroyale.be/fr/l-academie-royale-histoire/,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/les-campagnes-flamandes-du-xiiie-siecle-au-xviiie-siecle-ou-les-succes-dune-agriculture-traditionnelle/15A2A299629F9C8BC5877BDFAB733E5C
BEL,Belgium,industrial_ceramics,ABSENT,PRESENT,PENDING_CLASSIFICATION,MEDIUM,,industrial_ceramics,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://academieroyale.be/fr/l-academie-royale-histoire/,https://www.cambridge.org/core/journals/annales-histoire-sciences-sociales/article/abs/les-campagnes-flamandes-du-xiiie-siecle-au-xviiie-siecle-ou-les-succes-dune-agriculture-traditionnelle/15A2A299629F9C8BC5877BDFAB733E5C
BEL,Belgium,institutionalized_public_credit,PRESENT,ABSENT,REMOVE,MEDIUM,,,REVIEW arbitré ABSENT : les indices restent sectoriels/frontière ou insuffisants pour le seuil national du nœud.,https://intellectualhistory.site.ox.ac.uk/article/parliamentary-culture-and-public-credit-how-merchants-overcame-their-weak-position,https://academieroyale.be/fr/l-academie-royale-histoire/
