tech_id,name_en,name_fr,branch,family,current_era,proposed_era,implemented_era,chronology_status,chronology_reason,current_prerequisites,move_creates_inversion,decision,status,notes
steel_railway_cars,Steel Railway Cars,Wagons en acier,Production,rail_transport,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,railways,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
stormtroopers,Stormtroopers,Troupes d’assaut,Military,military_organization,era_12,era_11,era_11,GOOD,Stormtrooper/infiltration doctrine is a First World War development of 1915-1918.,wargaming;trench_works,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
submarine,Submarine,Sous-marin,Naval,naval_weapons,era_10,era_11,era_11,GOOD,"Operational submarine warfare matured in the 1900s-1910s, making Era XI the stronger adoption window.",self_propelled_torpedoes,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
telephone,Telephone,Téléphone,Production,telecommunications,era_10,era_9,era_9,GOOD,Telephony emerged in the 1870s and became an adopted network technology during the 1880s-1890s.,shift_work;electrical_generation,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
trench_works,Trench Works,Tranchées,Military,fortification,era_9,era_9,era_9,GOOD,Current placement remains chronologically and structurally acceptable.,general_staff;electric_telegraph;field_works,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
vacuum_canning,Vacuum Canning,Conservation sous vide,Production,food_industrialization,era_8,era_8,era_8,BORDERLINE,Current placement remains chronologically and structurally acceptable.,interchangeable_manufacture,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
vulcanization,Vulcanization,Vulcanisation,Production,industrial_materials,era_9,era_8,era_8,GOOD,Vulcanization dates to 1839 and was commercially established by the mid-19th century.,rubber_mastication,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
war_propaganda,War Propaganda,Propagande de guerre,Military,mass_politics_media,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,enlistment_offices,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
wargaming,Wargaming,Simulation de guerre,Military,military_organization,era_10,era_9,era_9,GOOD,Institutional military wargaming expanded during the 19th century and is mature by Era IX.,military_statistics,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
watertube_boiler,Water-tube Boiler,Chaudière à tubes d’eau,Production,steam_power,era_7,era_7,era_7,BORDERLINE,Current placement remains chronologically and structurally acceptable.,high_pressure_steam,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
zeppelins,Zeppelins,Zeppelin,Society,military_aviation,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,steel_frame_buildings,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
