requirement_id,source_markdown_section,technology_id,visible_unlock_or_gate,object_type,object_id,current_display,current_effective_gate,expected_display,expected_effective_gate,exact_current_path,exact_future_path,prior_design_authority,new_user_authority,status,proposed_action,override_architecture,evidence,notes,post_tech6b3d_authoritative_update
S07,ARBRE SOCIETAL,institutionalized_scientific_exchange,technology spread modifier,MODIFIER,,no requested extra spread modifier identified,none,add technology-diffusion modifier,exact modifier key/value not specified,common/technology/technologies/30_tech3a_society.txt,,TECH0 modifier inventory,Explicit current user request,CONFLICT_REQUIRES_USER_DECISION,Select a valid existing modifier key and numeric value from authoritative scripts.,NO_MODIFIER_OR_PATH_INVENTED,No exact key/value in source note.,,
S08,ARBRE SOCIETAL,institutionalized_scientific_exchange,freedom of conscience,LAW,law_freedom_of_conscience,shown under codified_practical_knowledge,codified_practical_knowledge,shown under scientific exchange,institutionalized_scientific_exchange,common/laws/00_church_and_state.txt,common/laws/00_church_and_state.txt,TECH6B2 same-path law gate,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Set the exact law gate to institutionalized_scientific_exchange.,EXISTING_SAME_PATH_SHADOW_OBJECT_EDIT,Exact law and unchanged vanilla 1.13.11 path inspected.,This law file was not renamed.,
S09,ARBRE SOCIETAL,specialized_technical_academies,university building,BUILDING,building_university,shown under institutionalized_scientific_exchange,institutionalized_scientific_exchange,shown under technical academies,specialized_technical_academies,common/buildings/07_government.txt,common/buildings/07_government.txt,TECH2H/TECH5 prior gate,Explicit current user override,NEW_USER_OVERRIDE,Replace exact building gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact object and current field inspected.,,
S10,ARBRE SOCIETAL,,total separation law,LAW,law_total_separation,shown under institutionalized_scientific_exchange,institutionalized_scientific_exchange,late-game society technology,late technology not specified,common/laws/00_church_and_state.txt,,TECH6B2 current gate,Explicit current user override,CONFLICT_REQUIRES_USER_DECISION,Choose exact existing late technology before 1.13.11 path migration.,NO_PATH_INVENTED,Exact law resolved; target technology absent from instruction.,,
S11,ARBRE SOCIETAL,polytechnical_education,philosophy department,PRODUCTION_METHOD,pm_philosophy_department,shown under codified_practical_knowledge,codified_practical_knowledge,shown under polytechnical_education,polytechnical_education,common/production_methods/07_government.txt,common/production_methods/07_government.txt,TECH5B2 current gate,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Replace exact PM gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact object and field inspected.,,
S12,ARBRE SOCIETAL,experimental_research_laboratories,analytical philosophy department,PRODUCTION_METHOD,pm_analytical_philosophy_department,shown under analytical_philosophy,analytical_philosophy,shown under experimental research,experimental_research_laboratories,common/production_methods/07_government.txt,common/production_methods/07_government.txt,TECH5B2 current gate,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Replace exact PM gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact object and field inspected.,,
S13,ARBRE SOCIETAL,,later innovation cap increase,MODIFIER,,not specified,none,higher innovation cap later,technology/key/value not specified,,,TECH0 research modifier audit,Explicit future user request,CONFLICT_REQUIRES_USER_DECISION,"Design exact owner, modifier key and value.",NO_ID_OR_PATH_INVENTED,Future balance request only.,,
S14,ARBRE SOCIETAL,specialized_professional_societies,new university bonus PM,PROPOSED_PRODUCTION_METHOD,,no object exists,none,bonus PM at learned societies,specialized_professional_societies,,,TECH5 PM architecture,Explicit future user request,CONFLICT_REQUIRES_USER_DECISION,"Define PM ID, PM group, effects and exact files later.",NO_ID_OR_PATH_INVENTED,Exact technology label maps to specialized_professional_societies.,,
S15,ARBRE SOCIETAL,analytical_philosophy,new university bonus PM,PROPOSED_PRODUCTION_METHOD,,no object exists,none,bonus PM at analytical philosophy,analytical_philosophy,,,TECH5 PM architecture,Explicit future user request,CONFLICT_REQUIRES_USER_DECISION,"Define PM ID, PM group, effects and exact files later.",NO_ID_OR_PATH_INVENTED,Exact technology ID exists.,,
S16,ARBRE SOCIETAL,medical_degrees,medical chain edge,TECHNOLOGY,medical_degrees,parent institutionalized_scientific_exchange,current separate branch,unified with variolation/vaccination branch,exact incoming edge not specified,common/technology/technologies/30_tech3a_society.txt,,TECH4C society graph,Explicit user design direction,CONFLICT_REQUIRES_USER_DECISION,Choose exact bridge edge and resulting era topology.,NO_EDGE_INVENTED,All existing technology IDs resolved.,,
S17,ARBRE SOCIETAL,clinicopathological_medicine,medical chain edge,TECHNOLOGY,clinicopathological_medicine,parents medical_degrees;experimental_research_laboratories,current parent set,follow medical_degrees in unified chain,medical_degrees plus reviewed parents,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH4C society graph,Explicit user design direction,NEW_USER_OVERRIDE,Preserve medical_degrees edge; decide whether experimental_research_laboratories remains.,REPLACE_PATH_TECH_OBJECT_REVIEW,Exact current parents inspected.,Human review required before edit.,
S18,ARBRE SOCIETAL,active_principle_pharmacy,medical chain edge,TECHNOLOGY,active_principle_pharmacy,parents experimental_research_laboratories;medical_degrees,current parent set,follow clinicopathological_medicine,clinicopathological_medicine,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH4C society graph,Explicit user design direction,NEW_USER_OVERRIDE,Replace/add parent only after approving full unified topology.,REPLACE_PATH_TECH_OBJECT_REVIEW,Exact current parents inspected.,,
S19,ARBRE SOCIETAL,vaccination,medical chain bridge,TECHNOLOGY,vaccination,parent variolation_networks,current immunization branch,connected to degrees/clinicopath/pharmacy chain,exact bridge direction not specified,common/technology/technologies/30_tech3a_society.txt,,TECH4C society graph,Explicit user design direction,CONFLICT_REQUIRES_USER_DECISION,Choose whether vaccination leads into or follows the academic medical chain.,NO_EDGE_INVENTED,Exact current vaccination edge inspected.,,
S20,ARBRE SOCIETAL,organized_immunization_campaigns,medical chain endpoint,TECHNOLOGY,organized_immunization_campaigns,parent vaccination,vaccination,remain endpoint of unified medicine chain,approved unified predecessor,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH4C society graph,Explicit user design direction,CONFLICT_REQUIRES_USER_DECISION,Preserve current edge until unified topology is approved.,REPLACE_PATH_TECH_OBJECT_REVIEW,Exact current parent inspected.,,
S21,ARBRE SOCIETAL,identification_documents,totalitarianism chain,TECHNOLOGY,identification_documents,parent central_statistical_offices,current parent set,professional_civil_policing prerequisite,add professional_civil_policing parent,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,User offers this or later alternatives,CONFLICT_REQUIRES_USER_DECISION,Select this edge or S22 alternative; do not add all automatically.,REPLACE_PATH_TECH_OBJECT_REVIEW,Exact IDs and current parents resolved.,,
S22,ARBRE SOCIETAL,central_planning,totalitarianism chain alternative,TECHNOLOGY,central_planning,parent identification_documents,identification_documents,professional_civil_policing inserted at identification/central planning/mass surveillance,alternative exact edge not selected,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,TECH4C post-1836 graph,Explicit user alternatives,CONFLICT_REQUIRES_USER_DECISION,"Choose one causal placement among identification_documents, central_planning, mass_surveillance.",NO_EDGE_INVENTED,Exact candidate IDs resolved.,,
S23,ARBRE SOCIETAL,joint_stock_companies,researchability,TECHNOLOGY,joint_stock_companies,hidden compatibility alias,can_research=no,visible researchable technology,can_research=yes/remove hidden flag,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH3B consumed alias,Explicit current user override,NEW_USER_OVERRIDE,Restore exact technology as researchable after duplicate/responsibility audit.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact object and hidden flag inspected.,,Implemented and GUI-visible: joint_stock_companies is researchable in era_6 and excluded from hidden-tech redistribution.
S24,ARBRE SOCIETAL,joint_stock_companies,company limit modifier,MODIFIER,country_max_companies_add,stock_exchange owns +2,stock_exchange,joint_stock_companies owns +1; stock_exchange retains +1,joint_stock_companies,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH3A current modifier assignment,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Move exactly one point from stock_exchange to joint_stock_companies.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact +2 current modifier inspected.,,
S25,ARBRE SOCIETAL,joint_stock_companies,free charter modifier,MODIFIER,country_free_charters_add,stock_exchange owns +2,stock_exchange,joint_stock_companies owns +1; stock_exchange retains +1,joint_stock_companies,common/technology/technologies/30_tech3a_society.txt,common/technology/technologies/30_tech3a_society.txt,TECH3A current modifier assignment,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Move exactly one point from stock_exchange to joint_stock_companies.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact +2 current modifier inspected.,,
S26,ARBRE SOCIETAL,joint_stock_companies,prerequisites,TECHNOLOGY,joint_stock_companies,parents banking;corporate_charters,current parent set,parents postal_savings;commercial_insurance_markets,postal_savings;commercial_insurance_markets,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user override,NEW_USER_OVERRIDE,Replace parent set only after reference audit.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact current parents inspected.,,
S27,ARBRE SOCIETAL,joint_stock_companies,era,TECHNOLOGY,joint_stock_companies,era 7,era_7,era 6 or 7,user allows either,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,TECH4C post-1836 era,Explicit user range,CONFLICT_REQUIRES_USER_DECISION,Choose era_6 or retain era_7.,NO_PATH_INVENTED,Exact current era is already within requested range.,Could be NO_ACTION if era 7 chosen.,Implemented and GUI-visible: joint_stock_companies is researchable in era_6 and excluded from hidden-tech redistribution.
S28,ARBRE SOCIETAL,mutual_funds,prerequisite,TECHNOLOGY,mutual_funds,parents institutionalized_public_credit;postal_savings,current parent set,joint_stock_companies prerequisite,joint_stock_companies plus reviewed parents,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user override,NEW_USER_OVERRIDE,Add joint_stock_companies and remove postal_savings per S30.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact current parents inspected.,,
S29,ARBRE SOCIETAL,investment_banks,prerequisite,TECHNOLOGY,investment_banks,parents stock_exchange;mutual_funds,current parent set,joint_stock_companies gate in chain,direct or inherited via mutual_funds not specified,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,TECH4C post-1836 graph,Explicit current user request,CONFLICT_REQUIRES_USER_DECISION,Decide direct parent versus transitive gate through mutual_funds.,NO_EDGE_INVENTED,Exact current parents inspected.,,
S30,ARBRE SOCIETAL,mutual_funds,remove postal parent,TECHNOLOGY,mutual_funds,parent postal_savings present,postal_savings,postal_savings removed,no postal_savings parent,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit current user override,NEW_USER_OVERRIDE,Remove exact postal_savings parent when adding joint_stock_companies.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact current parent inspected.,,
S31,ARBRE SOCIETAL,investment_banks,remove postal parent,TECHNOLOGY,investment_banks,no direct postal_savings parent,stock_exchange;mutual_funds,no direct postal_savings parent,unchanged direct set unless S29 chosen,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,TECH4C post-1836 graph,Explicit user wording,OLD_AUDIT_ALREADY_CORRECT,No direct postal_savings edge exists to remove.,NO_ACTION,Exact current parent set inspected.,Postal dependency is currently transitive through mutual_funds.,
