tech_id_provisional,name_fr,name_en,subbranch,era,era_window,historical_window,antecedent,practical_breakthrough,commercial_adoption,widespread_use,prerequisites,cross_branch_prerequisites,direct_unlocks,future_techs_opened,representation,design_status,historical_confidence,gameplay_role,ai_considerations,goods_dependencies,building_dependencies,pm_dependencies,pollution_mortality_notes,transport_rework_status,source_urls,notes,new_good_implications,direct_pop_consumption,pop_need_candidate,demand_design_notes,reference_mod_audit
industrial_alkalis,Alcalis industriels,Industrial Alkalis,Chimie,V,~1800–1824,1791 invention; essor après 1807 et années 1820,Industrial Acids; alkalis végétaux/minéraux traditionnels.,Procédé Leblanc: sel + acide sulfurique puis calcaire/charbon pour produire la soude.,Première usine 1791; procédé prend de l'ampleur après 1807.,"XIXe siècle, base du verre, savon, papier, textile.",industrial_acids,,Chemical Works PM: Leblanc Process; Industrial Chemicals output ↑; PM aval verre/savon/papier; forte pollution. Salt devient un input fort candidat si le good est retenu.,pressed_glass; post-1836 fertilizer/explosives/dyes chemistry,NODE + PM,STRONG_KEEP,HIGH,Deuxième grand palier Chemical Works et pivot de demande multi-sectorielle.,IA doit vérifier demande chemicals + inputs sulfur/coal; salt si ajouté.,industrial_chemicals; sulfur; coal; limestone abstraction; salt STRONG_CANDIDATE_WITH_POP_DEMAND,chemical_works; glassworks; paper_mills,Leblanc Process,Très forte pollution atmosphérique et déchets toxiques; mortalité/conditions de travail défavorables possibles.,,https://www.sciencehistory.org/stories/magazine/making-the-process/; https://www.erih.net/how-it-started/stories-about-people-biographies/biography/leblanc; https://www.erih.net/how-it-started/history-of-industries/salt,"Salt = STRONG_CANDIDATE_GOOD. Avant implémentation, auditer La Gabelle et la distribution mondiale historique. Ne pas importer ses mécaniques sans réévaluation.",Salt candidate: chemical feedstock + direct POP consumption + food preservation uses.,Salt: YES if retained; Industrial Chemicals: NO direct POP consumption,Salt: food/basic household consumption,"Le sel ne doit pas exister seulement pour Leblanc: demande POP directe, conservation alimentaire et chimie doivent fournir plusieurs débouchés.","La Gabelle: inspect exact salt production/resource potentials, companies, laws, taxation, POP needs and PM demand."
hermetic_food_preservation,Conservation hermétique,Hermetic Food Preservation,Alimentation,V,~1800–1824,1809–1815+,"Salage, séchage, fumage, confisage et autres conservations traditionnelles.",Appert récompensé 1809/1810; brevet britannique de récipient métallique 1810; Donkin produit industriellement dès 1812.,"D'abord coûteux, particulièrement pertinent pour armées, marine, expéditions et marchés haut de gamme.",Industrialisation de masse plus tardive au XIXe.,automated_flour_milling,Military/Naval: preserved provisions hook,REUSE/RETIME vanilla Food Industries Canning PM; développer les PM existants plutôt que créer un bâtiment séparé. Possible early Glass Bottling & Tinned Preserves PM; aucun nouveau good canned_food.,POST_1836 mechanized_canning,NODE + EXISTING_PM_REWORK,STRONG_KEEP,HIGH,S'appuie sur le système vanilla au lieu de dupliquer une filière alimentaire.,"Poids selon Food Industries, besoins militaires/navals, prix iron/glass.",iron/tin abstraction; glass candidate; meat/fish/grain inputs; salt candidate for traditional/preserved-food PMs (not mandatory to Appert canning),food_industries,Vanilla Canning PM reworked/retimed,,,https://www.nal.usda.gov/exhibits/ipd/canning/timeline-table; https://www.nps.gov/articles/000/why-no-cans.htm,Mechanized Canning reste POST-1836. La branche Food Industries doit étendre les PM vanilla de mise en conserve au lieu de dupliquer le système.,No canned_food good. Existing groceries remain the final POP-facing food good; salt may support preservation PMs if retained.,Groceries: YES (existing); Salt: YES if retained,Existing food needs; Salt may enter direct food/basic need,Réutiliser la consommation POP existante de groceries. Le sel peut soutenir la conservation traditionnelle mais ne doit pas être une condition artificielle de toute mise en conserve.,
improved_road_engineering,Ingénierie routière améliorée,Improved Road Engineering,Transport & génie civil,V,~1800–1824,c.1800–1830,Turnpike Road Networks.,"Méthodes Telford/McAdam: fondations, drainage, granulométrie et profils améliorés.",Grands programmes routiers du début XIXe.,Adoption internationale progressive.,turnpike_road_networks,,Capacités routières avancées réservées à DEFERRED_TRANSPORT_REWORK.,professional_civil_engineering; systematic_field_drainage,NODE,STRONG_KEEP,HIGH,Maintient la route comme technologie pertinente plutôt que simple étape jetable avant rail.,Poids selon accessibilité du marché et coûts de transport.,stone/gravel abstraction; tools,future road/transport system,DEFERRED_TRANSPORT_REWORK,,DEFERRED_TRANSPORT_REWORK,https://www.ice.org.uk/what-is-civil-engineering/infrastructure-projects/telfords-roads,Effets à figer seulement après refonte route/canal/cabotage/rail.,,NO_DIRECT_NEW_GOOD,,,
systematic_field_drainage,Drainage agricole systématique,Systematic Field Drainage,Agriculture,V,~1800–1824,1750–1830s; diffusion accrue début XIXe,Fossés et drainage agricole anciens.,Sous-drainage plus systématique; drains pierre/branchages puis premières tuiles au début XIXe.,"Croissance avant 1836, mais grande phase de drainage en tuiles mécanisées surtout après 1840.",XIXe siècle.,advanced_crop_rotations; improved_road_engineering,,PM farms adaptés: Systematic Field Drainage; rendement/fiabilité ↑ sur terres humides; coût tools/construction ↑.,POST_1836 industrial_tile_drainage,NODE + PM,KEEP,HIGH,"Amélioration agricole conditionnelle au type de culture/terrain, pas bonus universel.",Poids plus fort sur régions humides et cultures compatibles.,tools; construction materials,selected farms,Systematic Field Drainage,,,https://www.bahs.org.uk/AGHR/VOLUMES/AGHR34.pdf; https://www.cambridge.org/core/books/underdraining-of-farmland-in-england-during-the-nineteenth-century/E1E7D39E132FCD3D5F810346F7799BCE,Industrial Tile Drainage est volontairement post-1836.,,NO_DIRECT_NEW_GOOD,,,
mine_safety_engineering,Ingénierie de sécurité minière,Mine Safety Engineering,Mines & géologie,V,~1800–1824,1815–1830s,Deep Mine Engineering.,"Lampe de sûreté Davy 1815, essais 1816; améliorations ventilation et procédures de tir.","Adoption dans mines grisouteuses, avec limites et variations.",XIXe siècle.,deep_mine_engineering,,"Mine PM: Safety Lamps & Ventilation; Safer Blasting; mortalité/accidents ↓, coût/tools ↑.",,NODE + PM,STRONG_KEEP,HIGH,Exploite explicitement les mécaniques Vic3 de mortalité et de pollution/conditions de travail.,Poids accru si PM deep mine actif et mortalité élevée.,tools; possible industrial_chemicals later,underground mines,Safety Lamps & Ventilation; Safer Blasting,Réduction directe de mortalité prévue; peut échanger un peu de throughput contre sécurité.,,https://www.rigb.org/explore-science/explore/collection/humphry-davys-miners-safety-lamp,"La mortalité étant modélisée par Victoria 3, ce node doit avoir un impact concret, pas seulement un bonus abstrait.",,NO_DIRECT_NEW_GOOD,,,
continuous_papermaking,Fabrication continue du papier,Continuous Papermaking,Papier & procédés continus,V,~1800–1824,1799–1807+,Papier à la cuve produit feuille par feuille.,"Machine Robert/Fourdrinier, développée industriellement avec Donkin au début des années 1800.",Machines commerciales au début XIXe.,XIXe siècle.,precision_boring,Society: mass print/education downstream hook,"Paper Mills PM: Fourdrinier Machine; output ↑, labour ↓, tools/power ↑.",,NODE + PM,STRONG_KEEP,HIGH,Fait progresser Paper Mills indépendamment de la seule chimie.,Poids si demande de paper élevée et tools/power abordables.,wood/rags abstraction; tools; coal/water power,paper_mills,Fourdrinier Machine,Consommation eau/énergie accrue; pollution papier/chimie possible.,,https://paper.gatech.edu/advent-paper-machine; https://collection.sciencemuseumgroup.org.uk/objects/co160267/model-of-continuous-paper-making-machine,"Mechanical Printing (1812/1814) est réservé comme candidat Society/cross-branch, pas node Production séparé.",,NO_DIRECT_NEW_GOOD,,"Tout nouveau good ou nouvel input doit être testé à la fois côté demande productive et, si historiquement logique, côté consommation POP.",
coal_gasification,Gazéification de la houille,Coal Gasification,Chimie & utilités urbaines,V,~1800–1824,1790s–1815,Expériences de gaz de houille; Coke Smelting; Industrial Acids.,Expériences de Murdoch puis premières entreprises de gaz public; Gas Light and Coke Company (1812).,Éclairage urbain au gaz dès les années 1810.,Croissance rapide au XIXe siècle.,industrial_acids; coke_smelting,Society/Urbanization: urban utilities hook,"Urban Center PM: Gas Streetlights; coal input; option Gasworks dédiée à réévaluer plus tard, sans nouveau good gas pour V1.",,NODE + PM,KEEP,HIGH,Ajoute une demande urbaine au charbon et une filière d'utilité sans micro-good immédiat.,Poids si urbanisation élevée et charbon disponible.,coal,urban_centers; optional future gasworks,Gas Streetlights,Pollution urbaine et industrielle accrue.,,https://collection.sciencemuseumgroup.org.uk/people/ap26609/gas-light-and-coke-company,Un good 'town gas' n'est pas retenu pour V1.,,NO_DIRECT_NEW_GOOD,,"Tout nouveau good ou nouvel input doit être testé à la fois côté demande productive et, si historiquement logique, côté consommation POP.",
professional_civil_engineering,Génie civil professionnel,Professional Civil Engineering,Transport & génie civil,V,~1800–1824,fin XVIIIe–1828,"Ingénieurs militaires, architectes, surveyors et grands entrepreneurs de travaux.","Professionnalisation croissante; Institution of Civil Engineers fondée en 1818, Telford président en 1820.","Compétences organisées pour routes, canaux, ponts, ports, drainage et bientôt rail.",XIXe siècle.,industrial_canals; improved_road_engineering,Society: professional associations/technical education candidate,"Construction/Infrastructure capability; PM Engineered Works candidate; prérequis Railway, Geological Surveying, Hydraulic Cements, Hydraulic Turbines.",railway_systems; geological_surveying; hydraulic_cements; hydraulic_turbines,NODE + CROSS_BRANCH_HOOK,KEEP_CROSS_BRANCH_REVIEW,HIGH,Nœud d'intégration des grands travaux sans créer un 'Factory Organization' artificiel.,Poids élevé pour pays construisant infrastructures lourdes.,tools; iron; construction materials,construction_sector; infrastructure systems,Engineered Works candidate,,PARTLY_DEFERRED_TRANSPORT_REWORK,https://www.ice.org.uk/about-us/our-organisation/history; https://www.ice.org.uk/what-is-civil-engineering/meet-the-engineers/thomas-telford,Peut recevoir un prérequis Society ultérieur mais reste en Production V1.,,NO_DIRECT_NEW_GOOD,,,
interchangeable_manufacture,Fabrication interchangeable,Interchangeable Manufacture,Machines-outils,VI,~1825–1849,"1800–1830s, maturité progressive",Precision Machine Tools; production rationalisée.,Systèmes intégrés de production en série à Portsmouth (1803–06) et autres expériences de standardisation; maturation graduelle.,"Adoption limitée puis croissance au XIXe, notamment armement/mécanique.",Milieu XIXe et après.,precision_machine_tools,Military: standardized small arms; Naval: block/ship machinery hooks,Tooling/arms/selected industry PM: Standardized Parts; economies of scale/throughput.,post-1836 mass_production lineage,NODE + CROSS_BRANCH_PM,KEEP,HIGH,Prépare standardisation et production de masse sans prétendre qu'elle est déjà généralisée en 1825.,Poids si tooling/arms/machinery sectors développés.,tools; iron,tooling_workshops; arms_industries cross-link,Standardized Parts,,,https://collection.sciencemuseumgroup.org.uk/objects/co46697/original-coaking-machine-installed-at-portsmouth; https://historicengland.org.uk/listing/the-list/list-entry/1078288,"Le Portsmouth system est un jalon, pas preuve d'une diffusion générale immédiate.",,NO_DIRECT_NEW_GOOD,,,
railway_systems,Systèmes ferroviaires,Railway Systems,Transport & génie civil,VI,~1825–1849,1825–1830s,"Wagonways/rails miniers, High-Pressure Steam, Puddling & Rolling, Civil Engineering.",Stockton & Darlington ouvre en 1825 comme première ligne publique exploitée à vapeur; système commercial se structure ensuite.,Expansion rapide après 1825/1830.,1830s–XIXe.,high_pressure_steam; puddling_and_rolling; professional_civil_engineering,,Railway building/system; locomotion/rail PMs; effets précis DEFERRED_TRANSPORT_REWORK.,post-1836 railway_networks; telegraph/rail logistics cross-links,NODE + BUILDING_SYSTEM,STRONG_KEEP,HIGH,"Technologie-système, pas simple 'Steam Locomotive'.","Poids si industrie lourde, urbanisation et besoins transport; éviter rail partout sans demande.",iron; coal; tools; engines,railways,DEFERRED_TRANSPORT_REWORK,Pollution charbon et accidents possibles selon future refonte.,DEFERRED_TRANSPORT_REWORK,https://collection.sciencemuseumgroup.org.uk/objects/co205767/steam-locomotive-no-1-locomotion-stockton-darlington-railway; https://www.locomotion.org.uk/whats-on/locomotion-no1,Le rail ne doit pas rendre routes/canaux inutiles; refonte transport séparée.,,NO_DIRECT_NEW_GOOD,,,
geological_surveying,Levés géologiques,Geological Surveying,Mines & géologie,VI,~1825–1849,1815–1835,Applied Mineralogy; surveying; civil engineering.,Carte géologique de William Smith (1815); travaux officiels de De la Beche à partir de 1832 et Geological Survey en 1835.,"Usage croissant par États, mines et grands travaux.",XIXe siècle.,applied_mineralogy; professional_civil_engineering,Society: scientific institutions/statistics/cartography candidate,Ouvre futurs sous-arbres: Coal Geology; Metallic Ores; Industrial Minerals; Petroleum Geology; resource-potential/prospecting mechanics.,post-1836 coal_geology; metallic_ore_processing; industrial_minerals; petroleum_geology; phosphate/bauxite/copper specializations,NODE + FUTURE_RESOURCE_TREE_GATE,STRONG_KEEP,HIGH,Permet découverte/exploitation spécialisée sans faire comme si fer/charbon n'existaient pas auparavant.,"Poids selon besoins de ressources, potentiel minier et capacité scientifique.",future resource potentials,mines; future prospecting/resource systems,Geological Surveying/Prospecting candidate,,,https://www.bgs.ac.uk/information-hub/bgs-maps-portal/geological-survey-historical-notes/; https://www.bgs.ac.uk/about-bgs/our-work/our-history/,Utiliser plus tard change_resource_potential lorsque historiquement pertinent.,,NO_DIRECT_NEW_GOOD,,,
hot_blast_smelting,Haut-fourneau à vent chaud,Hot Blast Smelting,Métallurgie,VI,~1825–1849,1828+,Coke Smelting; Puddling & Rolling; power machinery.,Brevet de James Beaumont Neilson en 1828 pour préchauffer l'air de soufflage.,"Adoption dans les années 1830, économies de combustible et usage d'autres charbons/minerais.",Milieu XIXe.,puddling_and_rolling; rotative_steam_power,,"Iron/Steel PM: Hot Blast Furnaces; fuel efficiency ↑, output ↑, lower-grade input tolerance candidate.",post-1836 modern_iron_and_steel lineage,NODE + PM,STRONG_KEEP,HIGH,Dernier grand saut pré-1836 de la fonte avant la sidérurgie moderne.,Poids très élevé si fer/coal importants.,coal; iron,iron/steel industry,Hot Blast Furnaces,Peut réduire combustible par output mais augmenter échelle industrielle/pollution totale.,,https://www.hmsjournal.org/index.php/home/article/view/124,À calibrer contre les PM vanilla postérieurs.,,NO_DIRECT_NEW_GOOD,,,
hydraulic_cements,Ciments hydrauliques,Hydraulic Cements,Matériaux & construction,VI,~1825–1849,1796–1830s,Chaux hydrauliques et mortiers anciens; Industrial Ceramics; Civil Engineering.,"Roman cement breveté 1796; Aspdin brevète son 'Portland cement' en 1824, mais le vrai clinker Portland moderne se consolide surtout dans les années 1840.","Usages croissants pour docks, ouvrages hydrauliques et maçonnerie au début XIXe.",Ciment moderne de masse surtout après 1840.,professional_civil_engineering; industrial_ceramics,,Construction/ports/canals PM: Hydraulic Cement Mortars; PAS de new good cement avant la tech post-1836 Portland Cement. Prépare une future demande de ciment principalement portée par la construction.,POST_1836 portland_cement,NODE + PM,STRONG_KEEP,HIGH,Évite d'anticiper le ciment Portland moderne tout en représentant les matériaux hydrauliques pré-1836.,Poids pour pays à grands travaux/ports/urbanisation.,stone/limestone abstraction; coal,construction_sector; ports/canals/infrastructure PM candidates; future urban construction/housing PMs if system supports them,Hydraulic Cement Mortars,Fours: pollution modérée/élevée selon futur PM.,PARTLY_DEFERRED_TRANSPORT_REWORK,https://historicengland.org.uk/listing/the-list/list-entry/1004227; https://historicengland.org.uk/education/training-skills/training/webinars/recordings/webinar-on-mortars-for-conservation-part-1-history-and-materials/,Portland Cement comme good/building moderne = Era VII candidate. Son équilibre économique doit reposer d'abord sur Construction Sectors et usages d'infrastructure légitimes.,"Future Cement = POST_1836_CANDIDATE; primary demand construction, secondary infrastructure/urban construction; no direct POP consumption planned.",Future Cement: NO,None for cement,"Le ciment doit être consommé indirectement via construction, grands ouvrages, infrastructures et éventuellement PM urbains/habitat; ne pas créer une consommation directe POP artificielle.",
hydraulic_turbines,Turbines hydrauliques,Hydraulic Turbines,Énergie hydraulique,VI,~1825–1849,1826–1837,Roues hydrauliques et systèmes de canaux industriels anciens.,Fourneyron construit en 1826–27 la première turbine radiale à écoulement sortant; type introduit en 1827.,Installations dans les années 1830; diffusion internationale ensuite.,Milieu XIXe.,professional_civil_engineering; precision_machine_tools,,"PM Advanced Water Power/Turbines dans manufactures compatibles; forte efficacité sans charbon, dépendance géographique/hydraulique.",post-1836 modern_hydropower,NODE + BROAD_PM_UNLOCK,STRONG_KEEP,HIGH,Évite un arbre pré-1836 entièrement déterminé par le charbon et la vapeur.,Poids accru si faible charbon et bon potentiel hydraulique/industries adaptées.,tools; iron; water-power potential abstraction,selected manufactories,Hydraulic Turbines / Advanced Water Power,Pollution locale faible par rapport à la vapeur charbon; impacts hydrauliques non modélisés à ce stade.,,https://collection.sciencemuseumgroup.org.uk/objects/co50825/fourneyron-turbine-1837; https://repository.si.edu/bitstream/handle/10088/10218/1/USNMB_1731939_unit.pdf,Node ajouté lors de la passe finale pour éviter une trajectoire trop britannico-charbonnière.,,NO_DIRECT_NEW_GOOD,,,
pressed_glass,Verre pressé,Pressed Glass,Matériaux,VI,~1825–1849,1820s–1830s,Industrial Ceramics; glassblowing/casting; Industrial Alkalis; Precision Machine Tools.,Pressage mécanique du verre développé aux États-Unis dans les années 1820; innovation autour de 1825.,Boston & Sandwich et autres producteurs dès la fin des années 1820.,Diffusion aux États-Unis puis Europe et au-delà au XIXe.,industrial_ceramics; industrial_alkalis; precision_machine_tools,,"Glassworks PM: Mechanical Glass Pressing; labour ↓, output glass/luxury glass ↑, tools/coal/chemicals ↑.",,NODE + PM,KEEP,HIGH,Donne un progrès pré-1836 clair au secteur glassworks.,Poids si glassworks et demande de glass/luxury goods.,industrial_chemicals; coal; tools; glass,glassworks,Mechanical Glass Pressing,Fours industriels: pollution accrue; labour par unité réduit.,,https://info.cmog.org/publication/pressed-glass-1825-1925; https://www.metmuseum.org/art/collection/search/1503,Ne doit pas être confondu avec l'existence du verre ou de la porcelaine.,,Glass: mixed industrial/final; Porcelain: YES via existing Glassworks economy,,Conserver les débouchés industriels du verre et les débouchés POP des biens finaux; éviter de créer un nouveau building céramique.,
continuous_distillation,Distillation continue,Continuous Distillation,Alimentation & chimie,VI,~1825–1849,1808–1833,Distillation en alambic; Precision Machine Tools; Industrial Acids/process chemistry.,"Cellier-Blumenthal conçoit un still continu pratique (1808, brevet 1813); Stein 1827; Coffey brevet 1830/31.",Stills continus opérationnels à la fin des années 1820/début 1830.,Diffusion plus large au XIXe siècle.,precision_machine_tools; industrial_acids,,"Food Industries PM: Continuous Distillation; liquor output ↑, labour ↓, coal/tools ↑; peut aussi fournir alcohol industriel plus tard.",post-1836 industrial_alcohol/chemical_feedstocks,NODE + PM,KEEP,MEDIUM_HIGH,Crée une progression pré-1836 pour la production de liquor sans nouveau bâtiment obligatoire.,Poids si liquor demand/food industries importants et charbon disponible.,grain/sugar inputs per PM; coal; tools,food_industries,Continuous Distillation,Consommation énergétique et pollution charbon accrues.,,https://scotchwhisky.com/magazine/whisky-heroes/20740/aeneas-coffey/,"Adoption encore limitée en 1836: Era VI frontier tech, pas tech de départ générale.",,NO_DIRECT_NEW_GOOD,,,
