TAG,Country,Region,Technology,Decision_Type,Triggering_Children,Parent_Gameplay_Content,Collateral_Unlocks,Collateral_Unlock_Cost,Historical_Abstraction_Fit,Final_Decision,Final_Reason,Architecture_Change_Required
EZO,Ezochi,EAST_ASIA_SE_ASIA,traditional_food_processing,STRUCTURAL_REQUIRED,distillation,building_food_industry,Contenu direct: building_food_industry | Branches désormais accessibles: automated_flour_milling;sugar_refining,LOW,HIGH,ACCEPT,distillation suppose une capacité organisée de transformation alimentaire; building_food_industry est un collatéral directement cohérent.,Aucun changement.
FIN,Finland,NORTHERN_EASTERN_EUROPE,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: regulated_small_arms,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
FIN,Finland,NORTHERN_EASTERN_EUROPE,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
FJI,Fiji,OCEANIA_PACIFIC,organized_naval_establishments,GAMEPLAY_ABSTRACTION,scientific_naval_architecture,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: enclosed_dock_systems;ship_classification_surveying;state_dockyard_systems,HIGH,MEDIUM,REDEFINE_PARENT,"scientific_naval_architecture prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
FRA,France,WESTERN_EUROPE,organized_financial_institutions,GAMEPLAY_ABSTRACTION,commercial_insurance_markets;institutionalized_public_credit;stock_exchange,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"commercial_insurance_markets;institutionalized_public_credit;stock_exchange implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
FRA,France,WESTERN_EUROPE,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
FRA,France,WESTERN_EUROPE,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
FRA,France,WESTERN_EUROPE,ship_classification_surveying,STRUCTURAL_REQUIRED,marine_chronometry,Aucun contenu direct; nœud structurel de normalisation navale,Contenu direct: Aucun contenu direct; nœud structurel de normalisation navale | Branches désormais accessibles: maritime_safety_standards;standardized_naval_signals,LOW,HIGH,ACCEPT,marine_chronometry repose directement sur la classification et la normalisation navales.,Aucun changement.
FRA,France,WESTERN_EUROPE,turnpike_road_networks,STRUCTURAL_REQUIRED,industrial_canals,pm_market_squares;pm_turnpike_road_network,Contenu direct: pm_market_squares;pm_turnpike_road_network | Branches désormais accessibles: improved_road_engineering,MEDIUM,LOW,REDEFINE_PARENT,"industrial_canals peut dépendre d'une infrastructure terrestre organisée, mais pas universellement de routes à péage.","Réutiliser le même ID comme organized_transport_infrastructure avec localisation générale, tout en conservant ses PM routiers."
FRM,Frankfurt,CENTRAL_EUROPE_GERMAN_ITALY,organized_financial_institutions,GAMEPLAY_ABSTRACTION,stock_exchange,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: commercial_insurance_markets;institutionalized_public_credit,MEDIUM,HIGH,REDEFINE_PARENT,"stock_exchange implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
GAL,Galicia-Lodomeria,RESEARCH_GAP,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
GAL,Galicia-Lodomeria,RESEARCH_GAP,traditional_food_processing,STRUCTURAL_REQUIRED,distillation,building_food_industry,Contenu direct: building_food_industry | Branches désormais accessibles: automated_flour_milling;sugar_refining,LOW,HIGH,ACCEPT,distillation suppose une capacité organisée de transformation alimentaire; building_food_industry est un collatéral directement cohérent.,Aucun changement.
GBR,Great Britain,WESTERN_EUROPE,organized_financial_institutions,GAMEPLAY_ABSTRACTION,commercial_insurance_markets;institutionalized_public_credit;stock_exchange,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"commercial_insurance_markets;institutionalized_public_credit;stock_exchange implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
GBR,Great Britain,WESTERN_EUROPE,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
GBR,Great Britain,WESTERN_EUROPE,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"enclosed_dock_systems;scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
GEN,Most Serene Republic of Genoa,CENTRAL_EUROPE_GERMAN_ITALY,organized_financial_institutions,GAMEPLAY_ABSTRACTION,commercial_insurance_markets;institutionalized_public_credit;stock_exchange,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,"commercial_insurance_markets;institutionalized_public_credit;stock_exchange implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
GEN,Most Serene Republic of Genoa,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,scientific_fortification_siegecraft,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,scientific_fortification_siegecraft est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
GEN,Most Serene Republic of Genoa,CENTRAL_EUROPE_GERMAN_ITALY,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,HIGH,MEDIUM,REDEFINE_PARENT,"enclosed_dock_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
GR3,Sicily,CENTRAL_EUROPE_GERMAN_ITALY,codified_practical_knowledge,STRUCTURAL_REQUIRED,medical_degrees,Aucun contenu direct; tronc de formalisation et transmission des savoirs,Contenu direct: Aucun contenu direct; tronc de formalisation et transmission des savoirs | Branches désormais accessibles: organized_elementary_schooling;political_economy;systematic_cadastral_surveying;systematic_legal_codification,LOW,HIGH,ACCEPT_GAMEPLAY_ABSTRACTION,"medical_degrees repose raisonnablement sur la conservation, la formalisation et la transmission de savoirs pratiques.",Conserver le tronc pur; ne pas réintroduire la presse périodique ni l'échange scientifique comme parents obligatoires.
GR3,Sicily,CENTRAL_EUROPE_GERMAN_ITALY,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,HIGH,MEDIUM,REDEFINE_PARENT,"enclosed_dock_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
GR4,Naples,CENTRAL_EUROPE_GERMAN_ITALY,organized_financial_institutions,GAMEPLAY_ABSTRACTION,institutionalized_public_credit,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: commercial_insurance_markets;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"institutionalized_public_credit implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
GR4,Naples,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
GR4,Naples,CENTRAL_EUROPE_GERMAN_ITALY,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: ship_classification_surveying,MEDIUM,HIGH,REDEFINE_PARENT,"enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
GR5,Santo Domingo,AMERICAS_CARIBBEAN,codified_practical_knowledge,STRUCTURAL_REQUIRED,medical_degrees,Aucun contenu direct; tronc de formalisation et transmission des savoirs,Contenu direct: Aucun contenu direct; tronc de formalisation et transmission des savoirs | Branches désormais accessibles: organized_elementary_schooling;political_economy;systematic_cadastral_surveying;systematic_legal_codification,LOW,HIGH,ACCEPT_GAMEPLAY_ABSTRACTION,"medical_degrees repose raisonnablement sur la conservation, la formalisation et la transmission de savoirs pratiques.",Conserver le tronc pur; ne pas réintroduire la presse périodique ni l'échange scientifique comme parents obligatoires.
GR5,Santo Domingo,AMERICAS_CARIBBEAN,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
GRE,Greece,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
GWA,Gwalior,SOUTH_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,scientific_fortification_siegecraft,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,scientific_fortification_siegecraft est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
HAI,Haiti,AMERICAS_CARIBBEAN,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
HAM,Hamburg,CENTRAL_EUROPE_GERMAN_ITALY,organized_financial_institutions,GAMEPLAY_ABSTRACTION,commercial_insurance_markets,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: institutionalized_public_credit;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"commercial_insurance_markets implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
HAM,Hamburg,CENTRAL_EUROPE_GERMAN_ITALY,organized_naval_establishments,GAMEPLAY_ABSTRACTION,enclosed_dock_systems,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: scientific_naval_architecture;ship_classification_surveying;state_dockyard_systems,HIGH,MEDIUM,REDEFINE_PARENT,"enclosed_dock_systems prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
HAN,Hanover,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_military_hospitals,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
HAW,Hawaii,OCEANIA_PACIFIC,organized_naval_establishments,GAMEPLAY_ABSTRACTION,scientific_naval_architecture,Candidat actuel : socle shipyard/naval administration déplacé sur le tronc,Contenu direct: Candidat actuel : socle shipyard/naval administration déplacé sur le tronc | Branches désormais accessibles: enclosed_dock_systems;ship_classification_surveying;state_dockyard_systems,HIGH,MEDIUM,REDEFINE_PARENT,"scientific_naval_architecture prouve une capacité navale spécialisée; le socle général est acceptable, mais shipyard/naval administration seraient collatéraux.",Conserver le tronc naval comme nœud structurel pur; ne déplacer aucun bâtiment ni administration sur lui.
HBC,Hudson's Bay Company,AMERICAS_CARIBBEAN,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
HDJ,Hedjaz,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
HEK,Hesse-Kassel,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
HER,Herat,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
HES,Hesse,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,regulated_small_arms,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,"regulated_small_arms atteste une capacité d'armement, pas un appareil militaire complet; le grant reste acceptable seulement comme abstraction sans contenu direct.",Conserver un seul tronc militaire neutre; ne pas créer un second tronc pour seulement six cas armement-seul et ne déplacer aucun contenu sur le parent.
HUN,Hungary,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,codified_practical_knowledge,STRUCTURAL_REQUIRED,medical_degrees;political_economy;systematic_cadastral_surveying;systematic_legal_codification,Aucun contenu direct; tronc de formalisation et transmission des savoirs,Contenu direct: Aucun contenu direct; tronc de formalisation et transmission des savoirs | Branches désormais accessibles: organized_elementary_schooling,LOW,HIGH,ACCEPT_GAMEPLAY_ABSTRACTION,"medical_degrees;political_economy;systematic_cadastral_surveying;systematic_legal_codification repose raisonnablement sur la conservation, la formalisation et la transmission de savoirs pratiques.",Conserver le tronc pur; ne pas réintroduire la presse périodique ni l'échange scientifique comme parents obligatoires.
HUN,Hungary,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_military_hospitals,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
HYD,Hyderabad,SOUTH_ASIA,organized_financial_institutions,GAMEPLAY_ABSTRACTION,institutionalized_public_credit,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: commercial_insurance_markets;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"institutionalized_public_credit implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
HYD,Hyderabad,SOUTH_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
ION,Ionian Islands,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_financial_institutions,GAMEPLAY_ABSTRACTION,commercial_insurance_markets,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: institutionalized_public_credit;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"commercial_insurance_markets implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
ION,Ionian Islands,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms;scientific_fortification_siegecraft; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
