"Technology_ID","Era","Category","Old_EN_Name","New_EN_Name","Old_FR_Name","New_FR_Name","New_EN_Description","New_FR_Description","Reason"
"paddle_steamer","era_5","military","Paddle Steamer","Paddle Steamer","Bateau à roues à aubes","Vapeur à roues","The paddle steamer is a steam powered watercraft, where the steam is used to turn paddles that pushes the ship through the water.","Un bateau à roues à aubes est une embarcation à vapeur, où la vapeur sert à faire tourner les roues à aubes qui permettent au bateau d’avancer.","Shorter or clearer title"
"periodical_print_networks","era_1","society","Periodical Press","Periodical Press","Presse périodique","Presse périodique","Regularly issued newspapers and journals carry news, debate, and practical knowledge between distant towns.","Les journaux et périodiques diffusés régulièrement relient les villes par l'information, le débat et les savoirs pratiques.","Specific historical description"
"permanent_engineer_services","era_4","military","Engineer Corps","Engineer Corps","Corps du génie","Corps du génie","Standing engineer corps retain the skills needed for fortifications, field works, roads, and sieges between campaigns.","Des corps permanents du génie entretiennent les compétences nécessaires aux fortifications, aux travaux de campagne, aux routes et aux sièges.","Specific historical description"
"permanent_military_hospitals","era_3","military","Military Hospitals","Military Hospitals","Hôpitaux militaires","Hôpitaux militaires","Permanent hospitals give armies a stable place to treat sickness and wounds instead of relying entirely on improvised wartime care.","Des hôpitaux permanents permettent aux armées de soigner malades et blessés sans dépendre uniquement de soins improvisés en campagne.","Specific historical description"
"political_economy","era_3","society","Political Economy","Political Economy","Économie politique","Économie politique","Writers and administrators examine production, trade, taxation, and wealth as connected parts of a wider economy.","Auteurs et administrateurs étudient production, commerce, fiscalité et richesse comme les composantes liées d'une même économie.","Specific historical description"
"polytechnical_education","era_4","society","Polytechnical Education","Polytechnical Education","Éducation polytechnique","Éducation polytechnique","Schools joining mathematics, natural science, and engineering train specialists for public works and industry.","Des écoles associant mathématiques, sciences naturelles et génie forment des spécialistes pour les travaux publics et l'industrie.","Specific historical description"
"portland_cement","era_7","production","Portland Cement","Portland Cement","Ciment Portland","Ciment Portland","So named for its resemblance to stone quarried from an island in Dorset, England, this cement is an effective component in concrete, used for building large structures. It is produced from limestone and other common materials, making it very cheap.","Devant son nom à la similarité qu’il présente avec la pierre de Portland, dont les carrières sont situées sur la côte du Dorset en Angleterre, ce ciment est un composant essentiel du béton, utilisé notamment dans la construction de grandes structures. Il est produit à partir de calcaire et d’autres matériaux ordinaires, ce qui le rend peu coûteux.","Existing concise and specific localization retained"
"power_of_the_purse","era_7","military","Power of the Purse","Captains’ Purchasing","Pouvoir du portefeuille","Achats délégués","Power of the Purse gives the ability to make purchases to the captains, allowing for a much more autonomous and effective fleet.","Le pouvoir du portefeuille donne aux capitaines la possibilité de faire des achats, offrant ainsi plus d’autonomie et d’efficacité à toute la flotte.","Shorter or clearer title"
"pre_dreadnought_tech","era_10","military","$ship_type_pre_dreadnought$","Pre-Dreadnoughts","$ship_type_pre_dreadnought$","Pré-dreadnoughts","Standardizing ship designs of battleships in order to produce a higher number of them. These ships are built from steel and powered by steam engines.","Standardisez la conception des navires de guerre afin d’en produire davantage. Ces navires sont construits à partir d’acier et sont propulsés par des machines à vapeur.","Shorter or clearer title"
"precision_boring","era_4","production","Precision Boring","Precision Boring","Alésage de précision","Alésage de précision","Accurate boring of metal cylinders and barrels makes demanding machines and artillery more dependable.","L'alésage précis des cylindres et des canons rend les machines et les pièces d'artillerie plus fiables.","Specific historical description"
"pressed_glass","era_6","production","Pressed Glass","Pressed Glass","Verre pressé","Verre pressé","Pressing molten glass in molds makes common glassware more uniform and easier to produce in quantity.","Le pressage du verre en fusion dans des moules rend les objets courants plus uniformes et plus faciles à produire en série.","Specific historical description"
"professional_civil_engineering","era_5","production","Civil Engineering","Civil Engineering","Génie civil","Génie civil","Trained engineers combine surveying, mathematics, and practical design to plan durable roads, bridges, and waterways.","Des ingénieurs formés associent levés, calculs et conception pratique pour aménager des routes, des ponts et des voies navigables durables.","Specific historical description"
"professional_civil_policing","era_6","society","Civil Policing","Civil Policing","Police civile","Police civile","Permanent, salaried police forces take over duties once handled by irregular watches and temporary local arrangements.","Des forces de police permanentes et rémunérées remplacent progressivement les gardes irrégulières et les arrangements locaux provisoires.","Specific historical description"
"puddling_and_rolling","era_4","production","Puddling and Rolling","Puddling and Rolling","Puddlage et laminage","Puddlage et laminage","Puddling refines pig iron in a reverberatory furnace; rolling then shapes the metal into more uniform bars and sheets.","Le puddlage affine la fonte dans un four à réverbère, puis le laminage façonne le métal en barres et en tôles plus uniformes.","Specific historical description"
"regulated_small_arms","era_2","military","Regulated Small Arms","Regulated Small Arms","Armes réglementaires","Armes réglementaires","Common patterns and calibres make infantry weapons easier to procure, maintain, and supply across an army.","Des modèles et des calibres communs facilitent l'achat, l'entretien et l'approvisionnement des armes d'infanterie.","Specific historical description"
"rotary_valve_engine","era_8","production","Rotary Valve Engine","Rotary Valve Engine","Moteur à valve rotative","Moteur à soupape","A rotary valve engine is a steam engine with various additions, such as variable valve timing. These additions make it much more heat efficient than the standard steam engine. ","Un moteur à valve rotative est un moteur à vapeur avec quelques ajouts, comme la synchronisation des valves. Ces ajouts le rendent bien plus efficace sur le plan thermique que la plupart des moteurs à vapeur. ","Shorter or clearer title"
"rotative_steam_power","era_5","production","Rotative Steam Power","Rotative Steam Power","Vapeur rotative","Vapeur rotative","Converting the piston's motion into steady rotation allows steam engines to drive workshop and factory machinery directly.","La transformation du mouvement du piston en rotation régulière permet à la vapeur d'entraîner directement les machines des ateliers et des fabriques.","Specific historical description"
"scientific_fortification_siegecraft","era_1","military","Fortification & Siege","Fortification and Siegecraft","Fortification et siège","Fortification et poliorcétique","Geometric planning of fortifications and siege works turns the attack and defense of strongholds into a specialized military science.","Le tracé géométrique des fortifications et des travaux de siège fait de l'attaque et de la défense des places fortes une science militaire spécialisée.","Shorter or clearer title; Specific historical description"
"scientific_metrology","era_4","society","Scientific Metrology","Scientific Metrology","Métrologie scientifique","Métrologie scientifique","Comparable standards of weight and measure improve experiments, contracts, and exchange between regions.","Des étalons comparables de poids et de mesure rendent les expériences, les contrats et les échanges entre régions plus fiables.","Specific historical description"
"scientific_naval_architecture","era_2","military","Naval Architecture","Naval Architecture","Architecture navale","Architecture navale","Measured hull design and stability studies replace reliance on inherited proportions alone in the construction of warships.","Le calcul des formes de coque et l'étude de la stabilité complètent les proportions héritées de la tradition dans la construction navale.","Specific historical description"
"sea_lane_strategies","era_10","military","Sea Lane Strategies","Sea Lane Strategies","Stratégies de couloirs de navigation","Stratégies maritimes","By focusing naval power on controlling the sea lanes, naval dominance is much easier to achieve.","En concentrant la puissance navale sur le contrôle des voies maritimes, la domination navale est plus facile à atteindre.","Shorter or clearer title"
"selective_breeding","era_2","production","Selective Breeding","Selective Breeding","Élevage sélectif","Élevage sélectif","Choosing breeding stock for desired traits turns inherited farming experience into a deliberate means of improving herds.","La sélection volontaire des reproducteurs transforme l'expérience des éleveurs en un moyen méthodique d'améliorer les troupeaux.","Specific historical description"
"ship_classification_surveying","era_3","military","Ship Class & Survey","Ship Classification","Classement et inspection","Classification navale","Regular surveys record a vessel's condition and construction, making maintenance and comparisons between ships more systematic.","Des inspections régulières consignent l'état et la construction des navires, rendant leur entretien et leur classement plus méthodiques.","Shorter or clearer title; Specific historical description"
"specialized_professional_societies","era_5","society","Professional Societies","Professional Societies","Sociétés savantes","Sociétés savantes","Specialists form lasting associations to exchange findings, debate methods, and establish shared professional practices.","Des spécialistes créent des associations durables pour échanger leurs résultats, discuter des méthodes et établir des pratiques communes.","Specific historical description"
"specialized_technical_academies","era_3","society","Technical Academies","Technical Academies","Académies techniques","Académies techniques","Specialized schools provide sustained instruction in engineering and applied sciences beyond workshop apprenticeship.","Des écoles spécialisées assurent un enseignement suivi du génie et des sciences appliquées au-delà de l'apprentissage en atelier.","Specific historical description"
"standardized_field_artillery","era_3","military","Field Artillery","Field Artillery","Artillerie de campagne","Artillerie de campagne","Standard calibres, carriages, and drill make field guns easier to move, supply, and coordinate in battle.","Des calibres, des affûts et des exercices communs facilitent le déplacement, le ravitaillement et la coordination de l'artillerie de campagne.","Specific historical description"
"standardized_military_rockets","era_5","military","Military Rockets","Military Rockets","Fusées militaires","Fusées militaires","Consistent rocket designs, launch equipment, and drill make this weapon less dependent on isolated experiments.","Des modèles de fusées, des dispositifs de lancement et des exercices communs rendent cette arme moins dépendante d'expériences isolées.","Specific historical description"
"standardized_naval_signals","era_5","military","Naval Signals","Naval Signals","Signaux navals","Signaux navals","Agreed flag signals and procedures let ships coordinate maneuvers beyond the reach of spoken orders.","Des signaux par pavillons et des procédures communes permettent aux navires de coordonner leurs manœuvres à distance.","Specific historical description"
"state_dockyard_systems","era_1","military","State Dockyard Systems","State Dockyard Systems","Arsenaux d’État","Arsenaux d’État","Permanent state dockyards coordinate shipbuilding, repairs, stores, and skilled labor for naval fleets.","Des arsenaux permanents coordonnent la construction, la réparation, les réserves et la main-d'œuvre spécialisée des flottes.","Specific historical description"
"steam_donkey","era_9","production","Steam Donkey","Steam Donkey","Treuil de débardage à vapeur","Treuil à vapeur","By applying steam power to a winch system it is possible to achieve similar levels of power without the same amount of labor.","En appliquant la puissance de la vapeur à un système de treuil, il est possible d’atteindre des niveaux de puissance similaires sans la même quantité de travail.","Shorter or clearer title"
"steel_frame_buildings","era_9","society","Steel-Frame Buildings","Steel-Frame Buildings","Bâtiments avec structure en acier","Structures d’acier","By making a steel frame to hold up the rest of the building, it is possible to make much taller and sturdier buildings.","En fabriquant une armature en acier pour maintenir le reste du bâtiment, il est possible de construire des bâtiments plus grands et plus robustes.","Shorter or clearer title"
"sugar_refining","era_2","production","Sugar Refining","Sugar Refining","Raffinage du sucre","Raffinage du sucre","Improved clarification, concentration and crystallization processes allow refined sugar to be produced more regularly and on a larger scale.","Le perfectionnement des procédés de clarification, de concentration et de cristallisation permet de produire du sucre raffiné de manière plus régulière et à plus grande échelle.","Existing concise and specific localization retained"
"systematic_administrative_statistics","era_2","society","State Statistics","State Statistics","Statistiques d’État","Statistiques d’État","Repeated surveys and comparable records give governments a clearer view of population, revenue, and productive resources.","Des enquêtes répétées et des registres comparables donnent aux gouvernements une meilleure connaissance de la population, des recettes et des ressources.","Specific historical description"
"systematic_cadastral_surveying","era_4","society","Cadastral Surveying","Cadastral Surveying","Levé cadastral","Levé cadastral","Systematic land surveys and cadastral records allow administrations to identify property, assess taxes, and plan territorial development.","Les levés fonciers et registres cadastraux systématiques permettent d'identifier les propriétés, d'évaluer l'impôt et de planifier le territoire.","Existing concise and specific localization retained"
"systematic_field_drainage","era_5","production","Field Drainage","Field Drainage","Drainage agricole","Drainage agricole","Planned drains and channels remove excess water from fields, protecting crops and bringing wet land into regular cultivation.","Des drains et fossés planifiés évacuent l'excès d'eau, protègent les cultures et rendent les terres humides plus faciles à exploiter.","Specific historical description"
"systematic_legal_codification","era_4","society","Legal Codification","Legal Codification","Codification juridique","Codification juridique","A recognized and systematically organized body of law makes rules more consistent across courts, officials, and territories.","Un corpus juridique reconnu et organisé systématiquement rend les règles plus cohérentes entre tribunaux, administrations et territoires.","Existing concise and specific localization retained"
"systematic_population_registration","era_3","society","Population Registers","Population Registers","Registres de population","Registres de population","Regular population registers give administrations a durable basis for taxation, recruitment, and public planning.","Des registres réguliers de la population donnent à l'administration une base durable pour la fiscalité, le recrutement et la planification publique.","Existing concise and specific localization retained"
"traditional_food_processing","era_1","production","Traditional Food Processing","Traditional Food Processing","Transformation alimentaire traditionnelle","Transformation alimentaire traditionnelle","Established techniques of milling, cooking and processing agricultural products allow food production to be organized on a regular and larger scale.","Les techniques établies de mouture, de cuisson et de transformation des produits agricoles permettent d'organiser une production alimentaire régulière à plus grande échelle.","Existing concise and specific localization retained"
"traditional_glassmaking","era_2","production","Traditional Glassmaking","Traditional Glassmaking","Fabrication traditionnelle du verre","Verrerie traditionnelle","Mastery of furnaces, mineral melting and glass-forming techniques allows for the regular production of glass.","La maîtrise des fours, de la fusion des matières minérales et des techniques de façonnage permet une production régulière de verre.","Shorter or clearer title"
"traditional_papermaking","era_1","production","Traditional Papermaking","Traditional Papermaking","Fabrication traditionnelle du papier","Papeterie traditionnelle","Mastery of fibre preparation, pulping, pressing and drying techniques allows for the regular production of paper.","La maîtrise des techniques de préparation des fibres, de mise en pâte, de pressage et de séchage permet une production régulière de papier.","Shorter or clearer title"
"turnpike_road_networks","era_2","production","Organized Land Infrastructure","Organized Land Infrastructure","Infrastructure terrestre organisée","Infrastructure terrestre organisée","Organized road networks, structured maintenance, and the administration of overland routes provide a common foundation for land infrastructure.","Des réseaux routiers organisés, un entretien structuré et l'administration des voies terrestres constituent un socle commun pour les infrastructures terrestres.","Existing concise and specific localization retained"
"vaccination","era_4","society","Vaccination","Vaccination","Vaccination","Vaccination","Inoculation with cowpox offers a new means of protecting people against smallpox and changes the practice of preventive medicine.","L'inoculation de la vaccine offre un nouveau moyen de protéger contre la variole et transforme la médecine préventive.","Specific historical description"
"variolation_networks","era_2","society","Variolation Networks","Variolation Networks","Réseaux de variolisation","Réseaux de variolisation","Practitioners spread smallpox variolation through organized contacts and shared procedures before vaccination becomes available.","Des praticiens diffusent la variolisation contre la variole par des réseaux et des procédures partagées avant l'arrivée de la vaccination.","Specific historical description"
"veterinary_science","era_3","society","Veterinary Science","Veterinary Science","Science vétérinaire","Science vétérinaire","The study of animal anatomy and disease gives livestock owners and armies more reliable ways to care for working animals.","L'étude de l'anatomie et des maladies animales donne aux éleveurs et aux armées des moyens plus fiables de soigner les bêtes de travail.","Specific historical description"
"watertube_boiler","era_7","production","Water-tube Boiler","Water-tube Boiler","Chaudière à tubes d’eau","Chaudière tubulaire","The Water-tube Boiler is an improvement on the original boiler, by splitting up the water into smaller tubes they would heat up faster and thus improve efficiency.","La chaudière à tubes d’eau est une version améliorée de la chaudière classique. En répartissant l’eau dans des tubes plus petits, elle se réchauffe plus rapidement, améliorant l’efficacité de toute la machine.","Shorter or clearer title"
