record_id,subsection,tag,polity,formation,hq_region_or_area,reference_date,current_general,current_repo_status,candidate_general,candidate_assessment,historical_birth_date,birth_date_precision,historical_birth_place,birth_polity,mapped_v3_birth_state,age_on_1776_01_01,historical_death_date,death_date_precision,religion,culture,rank_or_title_1776,exact_military_function,office_start,office_end,theatre,mapping_class,decision,confidence,evidence_at_reference_date,structure_caveat,dna_template_status,source_1,source_2,source_3,notes
GEN1776-203,F2 SUB-SAHARAN AFRICA,MAD,Madagascar / Merina highlands abstraction,cleanup2d3b_mad_land_1,East Africa / Madagascar,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,1776 predates the late-18th-century Merina reunification. The formation spans politically fragmented territory; no single historical “Madagascar general” is defensible.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Madagascar,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not back-project Andrianampoinimerina’s later unification or c.1785+ warfare into 1776.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.persee.fr/doc/outre_0300-9513_1974_num_61_224_1776,,,
GEN1776-204,F2 SUB-SAHARAN AFRICA,MBS,Mombasa / Mazrui sphere,cleanup2d3b_mbs_land_1,East Africa / Kenya coast,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Mazrui officeholders around the 1770s (examined),"Dynastic chronology is recoverable, but direct land-formation command on 1776-01-01 is not.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Swahili/Omani-Mazrui elite,,,,,East Africa / Kenya coast,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Dynastic governorship at Mombasa is not automatically a land general.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,British Academy / specialized Mazrui historical studies.,,,
GEN1776-205,F2 SUB-SAHARAN AFRICA,MJT,Majerteen,cleanup2d3b_mjt_land_1,East Africa / Somaliland,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,"The Majerteen sultanate emerges in the 18th century, but exact 1776 central command is not securely identifiable and northern Somali military politics remained lineage-based.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Somali / Majeerteen,,,,,East Africa / Somaliland,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not use later 19th-century centralization for 1776.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.cambridge.org/core/books/abs/colonial-chaos-in-the-southern-red-sea/sultan-uthmans-salvage-agreements/D1EDDB34CC5C4A6A252CB42FD97C6F16,"I. M. Lewis, A Pastoral Democracy.",,
GEN1776-206,F2 SUB-SAHARAN AFRICA,MSN,Massina / Macina,cleanup2d3b_msn_land_1,West Africa / Inland Niger Delta,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,In 1776 Massina is not the 1818 Dina/empire. It consists of Fulbe groups/clans under multiple ardo and under Segu suzerainty.,,UNKNOWN,,,,,,UNKNOWN,Islam present among Fulbe groups; political/religious structures heterogeneous,Fulbe/Fulani,,Multiple ardo / clan-regional military leadership.,,,West Africa / Inland Niger Delta,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A unique national general is materially misleading for 1776 Massina.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.larousse.fr/encyclopedie/autre-region/Macina/130928,"Treccani, Macina entry / specialized pre-1818 histories.",,
GEN1776-207,F2 SUB-SAHARAN AFRICA,OYO,Oyo Empire,cleanup2d3b_oyo_land_1,West Africa / Yoruba states,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Are Ona Kakanfo officeholder (identity unresolved),"The high military office is historically real, but the individual holding it on 1776-01-01 was not identified with adequate confidence.",,UNKNOWN,,,,,,UNKNOWN,Yoruba religious context,Yoruba,Are Ona Kakanfo (institutional candidate only),Senior war commander within the Oyo military structure; exact holder unknown.,,,West Africa / Yoruba states,MILITARY_OFFICEHOLDER,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not invent a name for a known office.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/west-african-cavalry-state-the-kingdom-of-oyo/C34F0448417C0EC85E06D3704A161CA5,,,
GEN1776-208,F2 SUB-SAHARAN AFRICA,RWD,Rwanda,cleanup2d3b_rwd_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
GEN1776-209,F2 SUB-SAHARAN AFRICA,SGU,Segu,cleanup2d3b_sgu_land_1,West Africa / western Mali,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Ngolo Diarra,"ADOPT. He rose through the tonjon military organization, became a major tonjon chief and established his rule in 1766; the military pathway is integral to his authority rather than inferred from kingship alone.",c.1718,APPROX_YEAR,"Niola, region of Koulikoro (reported in later syntheses)",Middle Niger/Bamana sphere; exact local sovereignty unresolved,VERIFY — do not guess during implementation,about 57-58,1787,YEAR,Bamana religious tradition; exact personal affiliation unresolved,Bamana/Bambara,Faama / ruler of Segu; former tonjon chief,Military leader from the tonjon warrior organization who seized and consolidated political power.,1766,1787,Segu / Middle Niger,HIGHER_COMMAND_ABSTRACTION,IMPLEMENT_HISTORICAL,HIGH,"The chronology places him firmly in power in 1776, and accounts of his career explicitly trace his rise through the tonjon military hierarchy.",Use indigenous title/function; do not invent a European general rank.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.africanhistoryextra.com/p/the-empire-of-segu-1712-1861-ethnic,"UNESCO General History of Africa, volume on the 16th-18th centuries (Segu/Bamana discussion).",,
GEN1776-210,F2 SUB-SAHARAN AFRICA,SWZ,Swazi / proto-Swazi chiefdom,cleanup2d3b_swz_land_1,Southern Africa / Transvaal-Swaziland,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Ngwane III,ADOPT as chief/sovereign-war leader. He is directly associated with leading the Dlamini-Nguni movement and with conquests/incorporation of smaller clans before 1776.,,UNKNOWN,,,,,1780,YEAR,Swazi/Nguni traditional religion,Swazi / Nguni,King/chief Ngwane III,"Chief and war leader directing migration, conquest and incorporation of subordinate clans.",1750s leadership attested,1780,Pongola / early Swazi settlement and expansion zone,HIGHER_COMMAND_ABSTRACTION,IMPLEMENT_HISTORICAL,MEDIUM_HIGH,Biographical and Cambridge scholarship directly describe Ngwane leading his chiefdom and expansion before the reference date; he remained alive and in leadership in 1776.,Swazi kingship was embedded in royal/dual structures and subordinate chiefdoms; do not describe him as a modern national general.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://encyclopaediaafricana.com/ngwane-iii/,"Cambridge University Press, Kingdoms and Chiefdoms of Southeastern Africa, chronology of eighteenth-century political reconfiguration.",,
GEN1776-211,F2 SUB-SAHARAN AFRICA,TGI,Tungi Sultanate,cleanup2d3b_tgi_land_1,East Africa / northern Mozambique,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,Early succession/founding traditions are contradictory; named rulers become clearer only later in the 18th century. No individual 1776 commander can be safely assigned.,,UNKNOWN,,,,,,UNKNOWN,Islamic coastal polity context,Swahili/Makua-coastal context; exact mapping unresolved,,,,,East Africa / northern Mozambique,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Prefer procedural over selecting one of several incompatible succession traditions.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,"Liazzat J. K. Bonate, work on Arabic-script documents in Mozambique archives and scholarship on Tungi origins.",Rzewuski / Hafkin studies on the origins and early history of the Tungi Sultanate.,,
GEN1776-212,F2 SUB-SAHARAN AFRICA,WAD,Wadai,cleanup2d3b_wad_land_1,Equatorial Africa / Chad-Wadai,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Muhammad Jawda (examined),"REJECT AS GENERAL at the current evidence level. The sultan is credited with independence and expeditions, but the retrieved sources do not establish a specific unique 1776 formation command.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Wadai / Maba-associated sultanate context,Kolak / Sultan,,1745,1795,Equatorial Africa / Chad-Wadai,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,MEDIUM_HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not convert “ruler who undertook expeditions” into a general without stronger command evidence.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Historical syntheses of Wadai under Muhammad Jawda; stronger archival/academic confirmation recommended.,,,
GEN1776-213,F2 SUB-SAHARAN AFRICA,WBL,Griqualand / pre-Griqua communities,cleanup2d3b_wbl_land_1,Southern Africa / Northern Cape,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,Adam Kok I (examined),Do not adopt as a single general. In 1776 the “Griqua” territorial/state identity is itself anachronistic; communities were dispersed and the name Griqua was adopted later.,,UNKNOWN,,,,,,UNKNOWN,,Khoekhoe/Baster/Griqua precursor communities,,,,,Southern Africa / Northern Cape,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,"The formation is an abstraction of several communities, not an 18th-century Griqua state army.",NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://books.openedition.org/pur/255616,,,
GEN1776-214,F2 SUB-SAHARAN AFRICA,WSG,Warsangali,cleanup2d3b_wsg_land_1,East Africa / Somaliland,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual field commander identified; lineage/clan political organization makes a unique general particularly hazardous.,,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Somali / Warsangali,,Clan/lineage and sultanal authority; no unique field commander established.,,,East Africa / Somaliland,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Use collective procedural representation unless a specialist source identifies an actual 1776 field commander.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,"I. M. Lewis, A Pastoral Democracy and northern Somali lineage-political studies.",,,
