scope_group,country_tag,general_slot,formation_id,formation_name,hq_region,formation_state_basis,current_character,current_status,candidate_full_name,decision,decision_class,confidence,admissible_1776_01_01,birth_date,birth_date_precision,birth_place_historical,birth_polity_at_birth,v3_birth_state,v3_birth_state_confidence,death_date,death_date_precision,rank_1776_01_01,military_office_1776_01_01,office_start,office_end,command_type,formation_theatre_mapping,mapping_justification,culture_v3,culture_confidence,religion,religion_confidence,social_origin,ig_mapping_suggested,ideology_mapping_suggested,traits_suggested,portrait_status,portrait_reference,dna_existing,dna_reference,template_existing,template_reference,repo_character_existing,repo_event_hook,source_1,source_2,source_3,source_notes,decision_notes,research_only_no_implementation
GERMAN_HRE,MEC,GEN1776-039,cleanup2d4_formation_039,Groherzoglich_MecklenburgischSchwerinsche_Armee,region_central_europe,STATE_MECKLENBURG,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,OLD,GEN1776-040,cleanup2d4_formation_040,Groherzoglich_Oldenburgische_Armee,region_central_europe,STATE_HANNOVER,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,HAM,GEN1776-041,cleanup2d4_formation_041,Hamburger_Burgermilitar,region_central_europe,STATE_ELBE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,BRE,GEN1776-042,cleanup2d4_formation_042,Bremer_Stadtmilitar,region_central_europe,STATE_ELBE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,LUB,GEN1776-043,cleanup2d4_formation_043,Lubecker_Militar,region_central_europe,STATE_SCHLESWIG_HOLSTEIN,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,FRM,GEN1776-044,cleanup2d4_formation_044,Linienbataillon_Frankfurt,region_central_europe,STATE_HESSE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,WLD,GEN1776-045,cleanup2d4_formation_045,Waldecksches_Bataillon,region_central_europe,STATE_HESSE,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_HRE,LUX,GEN1776-046,cleanup2d4_formation_046,Luxemburger_Miliz,region_western_europe,STATE_WALLONIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,MILITIA_OR_SMALL_CONTINGENT_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The in-game force is a city militia/battalion/small contingent; forcing an army-level historical general would overstate the 1776 command structure.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
SCHLESWIG_HOLSTEIN,SCH,GEN1776-049,cleanup2d4_formation_049,Schleswigsche_Armee,region_central_europe,STATE_SCHLESWIG_HOLSTEIN,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,SMALL_CONTINGENT_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,No independent army-level command holder active on 1776-01-01 was documented strongly enough for these separate in-game tags; do not infer a modern national command.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
SCHLESWIG_HOLSTEIN,HOL,GEN1776-050,cleanup2d4_formation_050,Holsteinische_Armee,region_central_europe,STATE_SCHLESWIG_HOLSTEIN,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,SMALL_CONTINGENT_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,No independent army-level command holder active on 1776-01-01 was documented strongly enough for these separate in-game tags; do not infer a modern national command.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
ITALIAN_STATES,SIC,GEN1776-054,cleanup2d4_formation_054,Reale_Esercito_di_SM_il_Re_del_Regno_delle_Due_Sicilie,region_southern_europe,CAMPANIA/ABRUZZO/APULIA/CALABRIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,SIC,GEN1776-055,cleanup2d4_formation_055,Guardia_Reale,region_southern_europe,STATE_CAMPANIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ROYAL_GUARD_COMMAND_NOT_VERIFIED,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,SAR,GEN1776-056,cleanup2d4_formation_056,I_Corpo_dArmata,region_southern_europe,STATE_PIEDMONT + SARDINIA/SAVOY conscripts,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,PAP,GEN1776-057,cleanup2d4_formation_057,Esercito_dello_Stato_della_Chiesa,region_southern_europe,STATE_LAZIO,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,TUS,GEN1776-058,cleanup2d4_formation_058,Esercito_del_Granducato_di_Toscana,region_southern_europe,STATE_TUSCANY,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_DEFENSIBLE_NAMED_GENERAL_AT_CUTOFF,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,LUC,GEN1776-059,cleanup2d4_formation_059,Esercito_Ducale,region_southern_europe,STATE_EMILIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,SMALL_DUCAL_FORCE_NO_DEFENSIBLE_GENERAL,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,MOD,GEN1776-060,cleanup2d4_formation_060,Esercito_del_Ducato_di_Modena_e_Reggio,region_southern_europe,STATE_EMILIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,SMALL_DUCAL_FORCE_NO_DEFENSIBLE_GENERAL,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
ITALIAN_STATES,PAR,GEN1776-061,cleanup2d4_formation_061,Truppe_Reali_Parmensi,region_southern_europe,STATE_EMILIA,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,SMALL_DUCAL_FORCE_NO_DEFENSIBLE_GENERAL,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,Strict 1776-01-01 cutoff: no army-level named officer with sufficiently documented current command was established in this audit.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,Ruler/governor status alone was not treated as proof of independent land command.,YES
GERMAN_MINOR,COB,GEN1776-071,cleanup2d4_formation_071,cleanup2d3b_cob_land_1,region_central_europe,STATE_SAXONY,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_MINOR,HOH,GEN1776-073,cleanup2d4_formation_073,cleanup2d3b_hoh_land_1,region_central_europe,STATE_WURTTEMBERG,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_MINOR,MEI,GEN1776-078,cleanup2d4_formation_078,cleanup2d3b_mei_land_1,region_central_europe,STATE_SAXONY,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_MINOR,MST,GEN1776-079,cleanup2d4_formation_079,cleanup2d3b_mst_land_1,region_central_europe,STATE_MECKLENBURG,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_MINOR,SCW,GEN1776-082,cleanup2d4_formation_082,cleanup2d3b_scw_land_1,region_central_europe,STATE_SAXONY,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
GERMAN_MINOR,WEI,GEN1776-086,cleanup2d4_formation_086,cleanup2d3b_wei_land_1,region_central_europe,STATE_SAXONY,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,ONE_BATTALION_OR_MICROSTATE_STRUCTURE,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The formation is effectively a one-battalion microstate force; no army-level historical general is justified without a specific documented command appointment.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,,,,,YES
SWITZERLAND,SWI,GEN1776-084,cleanup2d4_formation_084,cleanup2d3b_swi_land_1,region_central_europe,STATE_EAST_SWITZERLAND + WEST_SWITZERLAND conscripts,PROCEDURAL,PROCEDURAL,,KEEP_PROCEDURAL,NO_UNIFIED_COMMAND_1776,HIGH,N/A,,UNKNOWN,,,,,,UNKNOWN,,,,,,,The Old Swiss Confederacy did not possess a modern unified standing national army command in 1776; military organization remained strongly cantonal. A single national 'Swiss general' would be structurally misleading.,,,,,,,,,NOT_APPLICABLE,,NO,,NO,,NO,NO_RELEVANT_HOOK_FOUND,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt,Historisches Lexikon der Schweiz — Militärwesen / federal-cantonal military organization — https://hls-dhs-dss.ch/fr/articles/024638/,,,"Procedural representation is preferable to inventing a national commander. If the formation model is later redesigned, a collective/cantonal abstraction would be more historical.",YES
